編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVRMLOJPHLFFAO17CA,8,187.31,見其他登記事項,鋼筋混凝土造,97年4月10日,四層,一層 二層 三層 四層
RPWRMLOJPHLFFAO27CA,,98.97,住家用,加強磚造,,二層,一層 二層
RPXNMLPJPHLFFAO07CA,,118.30,住家用,加強磚造,,二層,一層 二層 騎樓
RPOOMLPJPHLFFAO88CA,2,148.56,見其他登記事項,鋼筋混凝土造,103年1月10日,十四層,二層
RPOOMLPJPHLFFAO88CA,2,21.38,共有部分,鋼筋混凝土造,103年1月10日,十四層,
RPOOMLPJPHLFFAO88CA,2,46.16,共有部分,鋼筋混凝土造,103年1月10日,十四層,
RPOOMLPJPHLFFAO88CA,2,.22,辦公室,鋼筋混凝土造,103年1月10日,十四層,地下一層
RPOOMLPJPHLFFAO88CA,2,57.86,共有部分,鋼筋混凝土造,103年1月10日,十四層,
RPPOMLPJPHLFFAO98CA,2,148.40,見其他登記事項,鋼筋混凝土造,103年1月10日,十四層,二層
RPPOMLPJPHLFFAO98CA,2,21.36,共有部分,鋼筋混凝土造,103年1月10日,十四層,
RPPOMLPJPHLFFAO98CA,2,46.11,共有部分,鋼筋混凝土造,103年1月10日,十四層,
RPPOMLPJPHLFFAO98CA,2,.22,辦公室,鋼筋混凝土造,103年1月10日,十四層,地下一層
RPPOMLPJPHLFFAO98CA,2,57.86,共有部分,鋼筋混凝土造,103年1月10日,十四層,
RPVPMLPJPHLFFAO07CA,17,162.45,住家用,鋼筋混凝土造,88年11月1日,十二層,四層
RPVPMLPJPHLFFAO07CA,17,34.76,共有部分,鋼筋混凝土造,88年11月1日,十二層,
RPOQMLPJPHLFFAO09CA,5,.01,見其他登記事項,鋼筋混凝土造,100年7月18日,十四層,一層
RPOQMLPJPHLFFAO09CA,5,.00,共有部分,鋼筋混凝土造,100年7月18日,十四層,
RPOQMLPJPHLFFAO09CA,5,17.30,共有部分,鋼筋混凝土造,100年7月18日,十四層,
RPOQMLPJPHLFFAO09CA,5,93.07,見其他登記事項,鋼筋混凝土造,100年7月18日,十四層,七層
RPOQMLPJPHLFFAO09CA,5,16.93,共有部分,鋼筋混凝土造,100年7月18日,十四層,
RPOQMLPJPHLFFAO09CA,5,21.19,共有部分,鋼筋混凝土造,100年7月18日,十四層,
RPTPMLQJPHLFFAO96CA,21,.53,見使用執照,鋼筋混凝土造,84年10月9日,一層,一層 地下層
RPTPMLQJPHLFFAO96CA,19,.01,共有部分,鋼筋混凝土造,85年12月13日,十五層,
RPTPMLQJPHLFFAO96CA,19,.06,見其他登記事項,鋼筋混凝土造,85年12月13日,十五層,一層
RPTPMLQJPHLFFAO96CA,19,.00,共有部分,鋼筋混凝土造,85年12月13日,十五層,
RPTPMLQJPHLFFAO96CA,19,.01,共有部分,鋼筋混凝土造,85年12月13日,十五層,
RPTPMLQJPHLFFAO96CA,19,.07,見其他登記事項,鋼筋混凝土造,85年12月13日,十五層,一層
