編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPVRMLOJPHLFFAO17CA,師院段,113.73,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPVRMLOJPHLFFAO17CA,師院段,1.02,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPVRMLOJPHLFFAO17CA,師院段,26.91,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPVRMLOJPHLFFAO17CA,師院段,168.50,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPWRMLOJPHLFFAO27CA,虎山段,82.91,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLPJPHLFFAO07CA,內湖段,67.06,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLPJPHLFFAO88CA,自由段,42.52,都市：住
RPPOMLPJPHLFFAO98CA,自由段,42.48,都市：住
RPVPMLPJPHLFFAO07CA,東山段一小段,22.87,都市：住
RPOQMLPJPHLFFAO09CA,中華段,20.01,都市：其他
RPTPMLQJPHLFFAO96CA,東香段,100.44,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPTPMLQJPHLFFAO96CA,東香段,1.14,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPTPMLQJPHLFFAO96CA,東香段,.06,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPTPMLQJPHLFFAO96CA,東香段,.93,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPTPMLQJPHLFFAO96CA,東香段,.71,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLRJPHLFFAO66CA,竹蓮段,12.80,都市：商
RPROMLOJPHLFFAO09CA,舊社段,19.40,都市：住
RPRRMLOJPHLFFAO76CA,武陵段,48.26,都市：住
RPROMLRJPHLFFAO76CA,光華段,6.72,都市：住
RPVOMLRJPHLFFAO17CA,長春段,5.57,都市：其他
RPSPMLRJPHLFFAO96CA,長春段,4.48,都市：其他
RPRNMLSJPHLFFAO76CA,長春段,5.19,都市：住
RPROMLLKPHLFFAO88CA,南門段四小段,3.81,都市：商
RPROMLLKPHLFFAO88CA,南門段四小段,15.47,都市：商
RPVNNLNKPHLFFAO86CA,國道段,19.64,都市：住
RPOPMLOKPHLFFAO98CA,民富段,37.34,都市：住
RPOPMLOKPHLFFAO98CA,民富段,2.43,都市：其他
RPTPMLPKPHLFFAO96CA,武陵段,50.26,都市：住
RPWPMLPKPHLFFAO27CA,東光段,22.05,都市：商
RPOOMLQKPHLFFAO09CA,東光段,2.13,都市：商
RPRPMLRLPHLFFAO07CA,和平段,32.89,都市：住
RPPOMLPLQHLFFAO66CA,光鎮段,40.06,都市：住
RPPOMLPLQHLFFAO66CA,光鎮段,28.33,都市：住
SPPOMLPLQHLFFAO76CA,光鎮段,13.00,都市：住
RPVOMLPJPHLFFAO17EA,大湖段,63.03,非都市：一般農業區 ; 非都市編定：林業用地
RPRNMLQLQHLFFAO07EA,長春段,18.87,都市：其他
RPRNMLQLQHLFFAO07EA,長春段,.42,都市：住
RPRNMLQLQHLFFAO07EA,長春段,.09,都市：住
RPQNMLPJPHLFFAO56EA,水源段,33.65,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXOMLRLPHLFFAO57CA,和平段,123.02,都市：住
RPXOMLRLPHLFFAO57CA,和平段,28.97,都市：其他
RPXOMLRLPHLFFAO57CA,和平段,5.94,都市：住
RPXOMLRLPHLFFAO57CA,和平段,155.72,都市：住
RPXOMLRLPHLFFAO57CA,和平段,6.49,都市：其他
RPQOMLSKPHLFFAO86CA,福林段,26.42,都市：住
RPRPMLKLPHLFFAO98CA,關東段,65.11,都市：住
RPUOMLRKPHLFFAO17CA,中央段,106.50,都市：其他
RPUOMLRKPHLFFAO17CA,成功段,.75,都市：其他
RPWOMLRKPHLFFAO37CA,光鎮段,103.95,都市：其他
RPTOMLPKPHLFFAO86CA,長春段,16.06,都市：其他
RPTOMLPKPHLFFAO86CA,長春段,.01,都市：住
RPTOMLPKPHLFFAO86CA,長春段,.01,都市：住
RPXOMLOKPHLFFAO17CA,自由段,4.72,都市：住
RPXOMLOKPHLFFAO17CA,自由段,4.72,都市：住
RPXOMLOKPHLFFAO17CA,自由段,4.35,都市：住
RPXOMLOKPHLFFAO17CA,自由段,4.35,都市：住
RPUOMLRJPHLFFAO07CA,北門段,2.82,都市：商
RPUOMLRJPHLFFAO07CA,北門段,.45,都市：住
RPOOMLOKPHLFFAO88CA,自由段,39.03,都市：住
RPSNMLTJPHLFFAO96CA,介壽段,24.57,都市：住
RPWOMLRJPHLFFAO27CA,崙子段,45.16,都市：住
RPURMLOJPHLFFAO07CA,柴橋段,14.10,都市：其他
RPSNMLRJPHLFFAO76CA,中華段,36.03,都市：其他
RPSQMLPJPHLFFAO86CA,長春段,14.96,都市：其他
RPTNMLQJPHLFFAO76CA,港南段,492.18,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLQJPHLFFAO76CA,港南段,144.04,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXPMLPJPHLFFAO27CA,光華段,16.81,都市：住
RPXRMLOJPHLFFAO37CA,崙子段,70.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLPJPHLFFAO76CA,武陵段,12.00,都市：住
RPUNMLPJPHLFFAO76CA,武陵段,53.00,都市：住
RPQOMLQJPHLFFAO56CA,茄苳段,11.67,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLQJPHLFFAO56CA,茄苳段,3.03,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
SPQOMLQJPHLFFAO66CA,茄苳段,11.67,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
SPQOMLQJPHLFFAO66CA,茄苳段,3.03,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPUNMLRJPHLFFAO96CA,民富段,67.00,都市：住
RPUNMLRJPHLFFAO96CA,民富段,20.14,都市：住
RPTOMLRJPHLFFAO96CA,光武段,38.81,都市：住
RPPPMLRJPHLFFAO66CA,富山段,94.89,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLLKPHLFFAO88CA,光武段,22.99,都市：住
RPTNMLLKPHLFFAO98CA,光武段,35.56,都市：住
RPWNMLLKPHLFFAO66CA,光武段,29.39,都市：住
RPOOMLLKPHLFFAO58CA,光武段,29.39,都市：住
RPPOMLLKPHLFFAO68CA,自由段,18.96,都市：住
RPTOMLLKPHLFFAO09CA,美山段,180.27,都市：農
RPTOMLLKPHLFFAO09CA,美山段,120.19,都市：農
RPRNMLMKPHLFFAO88CA,民主段一小段,36.26,都市：商
RPRNMLMKPHLFFAO88CA,民主段一小段,21.94,都市：商
RPSNMLMKPHLFFAO98CA,民主段一小段,23.56,都市：商
RPVNMLMKPHLFFAO66CA,新莊段,710.87,都市：住
RPVNMLMKPHLFFAO66CA,新莊段,24.46,都市：其他
RPRWMLNKPHLFFAO27CA,東明段,27.88,都市：其他
RPVNMLRKPHLFFAO17CA,竹蓮段,3.60,都市：住
RPVNMLRKPHLFFAO17CA,新興段,25.56,都市：住
RPVNMLRKPHLFFAO17CA,新興段,2.36,都市：住
RPOOMLRKPHLFFAO56CA,竹蓮段,3.65,都市：住
RPOOMLRKPHLFFAO56CA,新興段,25.87,都市：住
RPOOMLRKPHLFFAO56CA,新興段,2.39,都市：住
RPPOMLRKPHLFFAO66CA,竹蓮段,3.67,都市：住
RPPOMLRKPHLFFAO66CA,新興段,26.03,都市：住
