鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
新竹市,房地(土地+建物)+車位,光復段421~450地號,41.68,住,,,1050308,土地2建物1車位1,一層,14,店面(店鋪),商業用,鋼筋混凝土造,,135.05,0,0,1,無,無,16050000,139117,坡道平面,28.09,1170000,,RPWNMLNKPHLFFAO96CB
新竹市,房地(土地+建物)+車位,光復段421~450地號,37.43,住,,,1050307,土地2建物1車位2,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,242.1,4,2,2,有,無,15990000,73526,坡道平面,56.18,2320000,,RPXNMLNKPHLFFAO07CB
新竹市,房地(土地+建物)+車位,光復段421~450地號,37.53,住,,,1050304,土地2建物1車位2,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,244.42,4,2,2,有,無,16300000,76269,坡道平面,58.5,2120000,,RPOOMLNKPHLFFAO88CB
新竹市,房地(土地+建物)+車位,光復段421~450地號,37.43,住,,,1050302,土地2建物1車位2,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,241.77,4,2,2,有,無,16670000,77184,坡道平面,55.85,2320000,,RPPOMLNKPHLFFAO98CB
新竹市,房地(土地+建物)+車位,光復段421~450地號,37.43,住,,,1050303,土地2建物1車位2,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,241.77,4,2,2,有,無,15970000,74763,坡道平面,55.85,2070000,,RPQOMLNKPHLFFAO09CB
新竹市,房地(土地+建物)+車位,光復段421~450地號,37.53,住,,,1050310,土地2建物1車位2,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,244.42,4,2,2,有,無,16090000,75947,坡道平面,58.5,1970000,,RPROMLNKPHLFFAO56CB
新竹市,房地(土地+建物)+車位,光復段421~450地號,37.43,住,,,1050408,土地2建物1車位2,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,242.1,4,2,2,有,無,16500000,76269,坡道平面,56.18,2320000,,RPSOMLNKPHLFFAO66CB
新竹市,房地(土地+建物)+車位,光復段421~450地號,39.84,住,,,1050302,土地2建物1車位1,一層,14,店面(店鋪),商業用,鋼筋混凝土造,,130.6,0,0,1,無,無,17220000,156082,坡道平面,28.09,1220000,,RPTOMLNKPHLFFAO76CB
新竹市,房地(土地+建物)+車位,光復段421~450地號,37.53,住,,,1050307,土地2建物1車位2,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,244.42,4,2,2,有,無,16450000,76000,坡道平面,58.5,2320000,,RPUOMLNKPHLFFAO86CB
新竹市,房地(土地+建物)+車位,光復段421~450地號,37.43,住,,,1050304,土地2建物1車位2,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,242.1,4,2,2,有,無,16080000,75355,坡道平面,56.18,2070000,,RPVOMLNKPHLFFAO96CB
