編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPWNMLNKPHLFFAO96CB,光復段,39.85,都市：住
RPWNMLNKPHLFFAO96CB,光復段,1.84,都市：住
RPXNMLNKPHLFFAO07CB,光復段,35.78,都市：住
RPXNMLNKPHLFFAO07CB,光復段,1.65,都市：住
RPOOMLNKPHLFFAO88CB,光復段,35.88,都市：住
RPOOMLNKPHLFFAO88CB,光復段,1.66,都市：住
RPPOMLNKPHLFFAO98CB,光復段,35.78,都市：住
RPPOMLNKPHLFFAO98CB,光復段,1.65,都市：住
RPQOMLNKPHLFFAO09CB,光復段,35.78,都市：住
RPQOMLNKPHLFFAO09CB,光復段,1.65,都市：住
RPROMLNKPHLFFAO56CB,光復段,35.88,都市：住
RPROMLNKPHLFFAO56CB,光復段,1.66,都市：住
RPSOMLNKPHLFFAO66CB,光復段,35.78,都市：住
RPSOMLNKPHLFFAO66CB,光復段,1.65,都市：住
RPTOMLNKPHLFFAO76CB,光復段,38.08,都市：住
RPTOMLNKPHLFFAO76CB,光復段,1.76,都市：住
RPUOMLNKPHLFFAO86CB,光復段,35.88,都市：住
RPUOMLNKPHLFFAO86CB,光復段,1.66,都市：住
RPVOMLNKPHLFFAO96CB,光復段,35.78,都市：住
RPVOMLNKPHLFFAO96CB,光復段,1.65,都市：住
RPWOMLNKPHLFFAO07CB,光復段,28.75,都市：住
RPWOMLNKPHLFFAO07CB,光復段,1.33,都市：住
RPPPMLNKPHLFFAO09CB,光復段,35.78,都市：住
RPPPMLNKPHLFFAO09CB,光復段,1.65,都市：住
RPRPMLNKPHLFFAO66CB,光復段,35.78,都市：住
RPRPMLNKPHLFFAO66CB,光復段,1.65,都市：住
RPSPMLNKPHLFFAO76CB,光復段,28.75,都市：住
RPSPMLNKPHLFFAO76CB,光復段,1.33,都市：住
RPUPMLNKPHLFFAO96CB,光復段,35.78,都市：住
RPUPMLNKPHLFFAO96CB,光復段,1.65,都市：住
RPVPMLNKPHLFFAO07CB,光復段,26.45,都市：住
RPVPMLNKPHLFFAO07CB,光復段,1.22,都市：住
RPWPMLNKPHLFFAO17CB,光復段,28.75,都市：住
RPWPMLNKPHLFFAO17CB,光復段,1.33,都市：住
RPXPMLNKPHLFFAO27CB,光復段,28.75,都市：住
RPXPMLNKPHLFFAO27CB,光復段,1.33,都市：住
RPOQMLNKPHLFFAO09CB,光復段,28.75,都市：住
RPOQMLNKPHLFFAO09CB,光復段,1.33,都市：住
RPPQMLNKPHLFFAO56CB,光復段,28.75,都市：住
RPPQMLNKPHLFFAO56CB,光復段,1.33,都市：住
RPQQMLNKPHLFFAO66CB,光復段,28.75,都市：住
RPQQMLNKPHLFFAO66CB,光復段,1.33,都市：住
RPRQMLNKPHLFFAO76CB,光復段,29.85,都市：住
RPRQMLNKPHLFFAO76CB,光復段,1.38,都市：住
RPSQMLNKPHLFFAO86CB,光復段,29.85,都市：住
RPSQMLNKPHLFFAO86CB,光復段,1.38,都市：住
RPTQMLNKPHLFFAO96CB,光復段,28.75,都市：住
RPTQMLNKPHLFFAO96CB,光復段,1.33,都市：住
RPUQMLNKPHLFFAO07CB,光復段,26.45,都市：住
RPUQMLNKPHLFFAO07CB,光復段,1.22,都市：住
RPVQMLNKPHLFFAO17CB,光復段,26.45,都市：住
RPVQMLNKPHLFFAO17CB,光復段,1.22,都市：住
RPWQMLNKPHLFFAO27CB,光復段,26.45,都市：住
RPWQMLNKPHLFFAO27CB,光復段,1.22,都市：住
RPXQMLNKPHLFFAO37CB,光復段,26.45,都市：住
RPXQMLNKPHLFFAO37CB,光復段,1.22,都市：住
RPORMLNKPHLFFAO56CB,光復段,26.45,都市：住
RPORMLNKPHLFFAO56CB,光復段,1.22,都市：住
RPPRMLNKPHLFFAO66CB,光復段,26.45,都市：住
RPPRMLNKPHLFFAO66CB,光復段,1.22,都市：住
RPQRMLNKPHLFFAO76CB,光復段,26.45,都市：住
RPQRMLNKPHLFFAO76CB,光復段,1.22,都市：住
RPRRMLNKPHLFFAO86CB,光復段,26.45,都市：住
RPRRMLNKPHLFFAO86CB,光復段,1.22,都市：住
