鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
新竹市,建物,新竹市新竹巿中正路157巷1~30號,0.0,商,,,1050615,土地0建物0車位0,全,5,透天厝,住家用,鋼筋混凝土造,0790503,22.15,5,5,5,有,無,有,6000,271,,0.0,0,,RPVOMLLJPHLFFAO76CC
新竹市,房地(土地+建物)+車位,新竹市新竹巿關新路211~240號,37.34,住,,,1050624,土地1建物1車位1,十四層,21,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0990723,253.61,4,2,2,有,有,有,48814,192,坡道平面,29.03,0,,RPUNMLMJPHLFFAO66CC
新竹市,房地(土地+建物)+車位,新竹市新竹巿建中路31~60號,26.59,住,,,1050627,土地1建物1車位1,一層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0870410,129.72,3,2,2,有,無,有,15000,116,一樓平面,0.0,0,,RPPNMLNJPHLFFAO88CC
新竹市,建物,新竹市新竹巿光復路一段421~450號,0.0,住,,,1050614,土地0建物1車位0,全,3,透天厝,見使用執照,鋼筋混凝土造,0740406,224.96,0,0,2,有,無,無,85000,378,,0.0,0,店面,RPOPMLPJPHLFFAO56CC
新竹市,建物,新竹市新竹巿世界街31~60號,0.0,住,,,1050623,土地0建物1車位1,七層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0980617,153.57999999999998,2,2,1,有,有,有,45900,299,坡道平面,33.58,0,,RPPQMLPJPHLFFAO76CC
新竹市,建物,新竹市新竹巿慈濟路211~240號,0.0,住,,,1050617,土地0建物1車位1,四層,23,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040114,194.7,4,2,2,有,有,有,40950,210,坡道平面,0.0,0,租金內含發票稅,RPVNMLQJPHLFFAO17CC
新竹市,建物,新竹市新竹巿林森路271~300號,0.0,商,,,1050608,土地0建物1車位0,十七層,17,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0860520,140.78,1,0,1,有,有,有,6500,46,,0.0,0,租金包含管理費.第四台.網路,RPSOMLQJPHLFFAO96CC
新竹市,建物,新竹市新竹巿園後街67巷1~30號,0.0,住,,,1050610,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0781007,159.24,4,2,2,有,無,有,16000,100,,0.0,0,,RPTOMLQJPHLFFAO07CC
新竹市,建物,新竹市新竹巿中華路四段691~720號,0.0,商,,,1050610,土地0建物1車位0,二層,6,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960630,28.27,1,0,1,有,有,有,6500,230,,0.0,0,租金含管理費.網路.第四台,RPUOMLQJPHLFFAO17CC
新竹市,建物,新竹市新竹巿林森路200巷31~60號,0.0,住,,,1050614,土地0建物1車位0,全,3,透天厝,工業用,鋼造,,170.4,3,2,3,有,無,無,17000,100,,0.0,0,,RPVOMLQJPHLFFAO27CC
