編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVOMLLJPHLFFAO76CC,26,22.15,住家用,鋼筋混凝土造,79年5月3日,五層,
RPUNMLMJPHLFFAO66CC,6,180.50,見其他登記事項,鋼筋混凝土造,99年7月23日,二十一層,
RPUNMLMJPHLFFAO66CC,6,33.38,共有部分,鋼筋混凝土造,99年7月23日,二十一層,
RPUNMLMJPHLFFAO66CC,6,39.73,共有部分,鋼筋混凝土造,99年7月23日,二十一層,
RPPNMLNJPHLFFAO88CC,18,129.72,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,
RPOPMLPJPHLFFAO56CC,31,224.96,見使用執照,鋼筋混凝土造,74年4月6日,三層,
RPPQMLPJPHLFFAO76CC,7,84.17,見其他登記事項,鋼筋混凝土造,98年6月17日,十四層,
RPPQMLPJPHLFFAO76CC,7,50.59,見其他登記事項,鋼筋混凝土造,98年6月17日,,
RPPQMLPJPHLFFAO76CC,7,18.82,見其他登記事項,鋼筋混凝土造,98年6月17日,十四層,
RPVNMLQJPHLFFAO17CC,1,120.21,見其他登記事項,鋼筋混凝土造,104年1月14日,二十三層,
RPVNMLQJPHLFFAO17CC,1,24.16,共有部分,鋼筋混凝土造,104年1月14日,二十三層,
RPVNMLQJPHLFFAO17CC,1,50.33,共有部分,鋼筋混凝土造,104年1月14日,二十三層,
RPSOMLQJPHLFFAO96CC,19,17.86,辦公室,鋼筋混凝土造,86年5月20日,十七層,
RPSOMLQJPHLFFAO96CC,19,115.99,共有部分,鋼筋混凝土造,86年5月20日,十七層,
RPSOMLQJPHLFFAO96CC,19,4.93,共有部分,鋼筋混凝土造,86年5月20日,十七層,
RPSOMLQJPHLFFAO96CC,19,2.00,共有部分,鋼筋混凝土造,86年5月20日,十七層,
RPTOMLQJPHLFFAO07CC,27,136.52,住家用,鋼筋混凝土造,78年10月7日,五層,
RPTOMLQJPHLFFAO07CC,27,13.43,共有部分,鋼筋混凝土造,78年10月7日,五層,
RPTOMLQJPHLFFAO07CC,27,9.29,共有部分,鋼筋混凝土造,78年10月7日,000,
RPUOMLQJPHLFFAO17CC,9,18.23,見其他登記事項,鋼筋混凝土造,96年6月30日,六層,
RPUOMLQJPHLFFAO17CC,9,10.04,見其他登記事項,鋼筋混凝土造,96年6月30日,六層,
RPVOMLQJPHLFFAO27CC,,170.40,工業用,鋼造,,三層,
RPXOMLQJPHLFFAO47CC,25,60.83,住家用,鋼筋混凝土造,80年12月5日,五層,
RPXOMLQJPHLFFAO47CC,25,8.28,共有部分,鋼筋混凝土造,80年12月5日,五層,
RPOPMLQJPHLFFAO66CC,11,30.98,見其他登記事項,鋼筋混凝土造,94年2月20日,四層,
RPOPMLQJPHLFFAO66CC,11,6.49,共有部分,鋼筋混凝土造,94年2月20日,四層,
RPOPMLQJPHLFFAO66CC,11,10.87,共有部分,鋼筋混凝土造,94年2月20日,四層,
RPRPMLQJPHLFFAO96CC,23,70.80,住家用,鋼筋混凝土造,82年10月19日,五層,
RPRPMLQJPHLFFAO96CC,23,7.94,共有部分,鋼筋混凝土造,82年10月19日,五層,
RPRPMLQJPHLFFAO96CC,23,42.27,共有部分,鋼筋混凝土造,82年10月19日,五層,
RPRNMLKKPHLFFAO88CC,35,76.51,住家用,鋼筋混凝土造,70年11月18日,五層,
RPUNMLKKPHLFFAO56CC,20,81.84,住家用,鋼筋混凝土造,85年5月11日,七層,
RPUNMLKKPHLFFAO56CC,20,24.65,見其他登記事項,鋼筋混凝土造,85年5月11日,七層,
RPWNMLKKPHLFFAO76CC,24,58.43,住家用,鋼筋混凝土造,80年12月30日,五層,
RPWNMLKKPHLFFAO76CC,24,38.09,共有部分,鋼筋混凝土造,80年12月30日,五層,
RPXNMLKKPHLFFAO86CC,21,93.02,住家用,鋼筋混凝土造,84年10月9日,七層,
RPXNMLKKPHLFFAO86CC,21,46.79,共有部分,鋼筋混凝土造,84年10月9日,七層,
RPSOMLLKPHLFFAO56CC,19,16.46,見其他登記事項,鋼筋混凝土造,86年2月3日,五層,
RPSOMLLKPHLFFAO56CC,19,5.26,見其他登記事項,鋼筋混凝土造,86年2月3日,五層,
RPVOMLMKPHLFFAO96CC,4,60.84,見其他登記事項,鋼筋混凝土造,101年2月29日,十五層,
RPVOMLMKPHLFFAO96CC,4,43.87,共有部分,鋼筋混凝土造,101年2月29日,十五層,
RPVOMLMKPHLFFAO96CC,4,15.47,共有部分,鋼筋混凝土造,101年2月29日,十五層,
RPPWMLNKPHLFFAO27CC,21,160.00,住家用,鋼筋混凝土造,84年1月27日,三層,
RPPWMLNKPHLFFAO27CC,21,17.16,共有部分,鋼筋混凝土造,84年1月27日,三層,
RPSONLNKPHLFFAO86CC,,439.84,見其他登記事項,見其他登記事項,,三層,
RPUPMLOKPHLFFAO17CC,19,16.46,見其他登記事項,鋼筋混凝土造,86年2月3日,五層,
RPUPMLOKPHLFFAO17CC,19,5.26,見其他登記事項,鋼筋混凝土造,86年2月3日,五層,
RPVPMLOKPHLFFAO27CC,19,24.97,住家用,鋼筋混凝土造,86年2月3日,五層,
RPVPMLOKPHLFFAO27CC,19,7.94,見其他登記事項,鋼筋混凝土造,86年2月3日,五層,
RPSOMLPKPHLFFAO96CC,22,97.90,住家用,鋼筋混凝土造,83年8月8日,七層,
RPSOMLPKPHLFFAO96CC,22,11.96,共有部分,鋼筋混凝土造,83年8月8日,七層,
RPSOMLPKPHLFFAO96CC,22,38.58,共有部分,鋼筋混凝土造,83年8月8日,七層,
RPUOMLPKPHLFFAO17CC,26,22.15,住家用,鋼筋混凝土造,79年5月3日,五層,
RPVOMLPKPHLFFAO27CC,2,63.63,見其他登記事項,鋼筋混凝土造,103年4月26日,一層,
