編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLPJPHLFFAP56CA,45,78.38,見其他登記事項,磚造,60年6月1日,一層,一層
RPRNMLPJPHLFFAP56CA,45,216.97,見其他登記事項,磚造,60年6月1日,一層,一層
RPRNMLPJPHLFFAP56CA,45,279.75,見其他登記事項,磚造,60年6月1日,一層,一層
RPRNMLPJPHLFFAP56CA,45,14.30,見其他登記事項,加強磚造,60年6月1日,一層,一層
RPRNMLPJPHLFFAP56CA,45,184.86,見其他登記事項,鋼造,60年6月1日,一層,一層
RPRNMLPJPHLFFAP56CA,45,164.22,見其他登記事項,鋼造,60年6月1日,一層,一層
RPRNMLPJPHLFFAP56CA,45,188.37,見其他登記事項,鋼造,60年6月1日,一層,一層
RPRNMLPJPHLFFAP56CA,45,54.19,見其他登記事項,磚造,60年6月19日,一層,一層
RPRNMLPJPHLFFAP56CA,45,40.57,見其他登記事項,加強磚造,60年6月1日,一層,一層
RPPNMLQJPHLFFDP76CA,12,173.60,見其他登記事項,鋼筋混凝土造,93年12月14日,三層,一層 二層 三層
RPTNMLQJPHLFFDP17CA,1,255.85,住家用,鋼筋混凝土造,104年7月9日,四層,一層 二層 三層 四層
RPVNMLQJPHLFFDP37CA,1,255.85,住家用,鋼筋混凝土造,104年7月9日,四層,一層 二層 三層 四層
RPUNMLRJPHLFFDP37CA,4,199.82,見其他登記事項,鋼筋混凝土造,101年4月20日,三層,一層 二層 三層 見其他登記事項
RPPNMLTJPHLFFDP07CA,19,130.68,住家用,鋼筋混凝土造,86年7月17日,五層,一層 二層 三層 四層 五層 騎樓 電梯樓梯間
RPUNMLLKPHLFFDP86CA,22,208.32,住家用,鋼筋混凝土造,83年3月14日,三層,一層 二層 三層 電梯樓梯間
RPTNMLPJPHLFFAP86DA,12,167.24,住家用,鋼筋混凝土造,93年7月20日,三層,一層 二層 三層
RPRNMLMKPHLFFFP96DA,1,214.54,見其他登記事項,鋼筋混凝土造,104年11月10日,三層,一層 二層 三層
RPVNMLMJQHLFFAP96EA,22,80.01,住家用,鋼筋混凝土造,83年1月10日,八層,三層
RPVNMLMJQHLFFAP96EA,22,31.65,共同部份,鋼筋混凝土造,83年1月10日,八層,
RPVNMLPJPHLFFAP07DA,1,177.80,住家用,鋼筋混凝土造,104年11月5日,三層,一層 二層 三層
RPWNMLQLPHLFFDP67CA,1,248.76,見其他登記事項,鋼筋混凝土造,104年9月17日,二層,一層 二層
RPRNMLSKPHLFFAP96CA,4,158.04,住家用,鋼筋混凝土造,101年8月27日,三層,一層 二層 三層
RPXNMLLKPHLFFAP86CA,22,155.71,住家用,鋼筋混凝土造,83年8月25日,三層,一層 二層 三層 電梯樓梯間
RPUNMLPJPHLFFAP86CA,24,73.53,住家用,加強磚造,81年9月20日,二層,一層 二層 騎樓 電梯樓梯間
