╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
ем│U┬э,дgжa,╛ЁкL└Yмq╛ЁкLдpмq61~90жa╕╣,1197.0,,д@пы╣A╖~░╧,╣Aкке╬жa,1050623,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,909720,760,,0.0,0,,RPUNMLPJPHLFFBQ07CA
╕qж╦╢m,дgжa,йд╕}мq61~90жa╕╣,306.0,жэ,,,1050622,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1360200,4445,,0.0,0,,RPWNMLPJPHLFFBQ27CA
ем│U┬э,дgжa,╖s╢ємqжnм№дpмq91~120жa╕╣,742.85,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050510,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2247100,3025,,0.0,0,"дgжa╢R╜ц▓{кpецеI,╗∙кўж█жцецеI",RPPNMLMKPHLFFBQ98CA
кFе█╢m,дgжa,о▀дl▒[мqкF▒[дpмq721~750жa╕╣,1566.46,,д@пы╣A╖~░╧,пSйwе╪к║и╞╖~е╬жa,1050523,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2711625,1731,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPPNMLMLPHLFFBQ09CA
╕qж╦╢m,дgжa,лс┬эмqлс┬эдpмq91~120жa╕╣,2970.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050602,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1200000,404,,0.0,0,,RPSNMLMLPHLFFBQ76CA
ем│U┬э,й╨жa(дgжa+л╪кл),╣┼╕q┐дем│U┬э╖sе_╕Ї1~30╕╣,90.0,жэ,,,1050613,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одg│y,0790416,127.37,3,2,3,ж│,╡L,3000000,23553,,0.0,0,,RPUNMLMLPHLFFBQ96CA
дjкL┬э,й╨жa(дgжa+л╪кл),╣┼╕q┐ддjкL┬эжшкLи╜дде┐╕Ї344л╤31~60╕╣,126.5,жэ,,,1050601,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,игифеL╡n░Oи╞╢╡,0790919,155.58,3,1,3,ж│,╡L,3500000,22496,,0.0,0,,RPUNMLLJPHLFFCQ76CA
е┴╢п╢m,дgжa,║╓жwмq811~840жa╕╣,29.94,жэ,,,1050517,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,190000,6346,,0.0,0,зtе╝╡n░Oл╪клбC,RPWNMLOJPHLFFCQ27CA
╖s┤ф╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐д╖s┤ф╢mдым▄з°12╛Fдым▄╝ц121~150╕╣,194.44,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050528,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,игифеL╡n░Oи╞╢╡,0770120,251.53,5,2,3,ж│,╡L,7400000,29420,,0.0,0,,RPSNMLPJPHLFFCQ96CA
дjкL┬э,дgжa,дjдuд@мq181~210жa╕╣,1369.31,,дu╖~░╧,дB║╪л╪┐vе╬жa,1050524,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,12981059,9480,,0.0,0,,RPQNMLQJPHLFFCQ86CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лO╔]┬┬░ёи╜╖s░ё1~30╕╣,108.88,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1050617,дgжa4л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,игифеL╡n░Oи╞╢╡,1040910,167.57,4,2,3,ж│,╡L,4850000,28943,,0.0,0,,RPRNMLQKPHLFFDQ17CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢m▓╩╖╦з°2╛F▓╩╖╦1~30╕╣,92.0,жэ,,,1050618,дgжa1л╪кл1иожь0,д@╝hбAдG╝hбA├M╝╙,дG╝h,й▒н▒(й▒╛Q),жэ░╙е╬,┐√╡м▓V╛одgе[▒j┐j│y,0701228,114.8,3,2,2,ж│,╡L,3260000,28397,,0.0,0,,RPSNMLTKPHLFFDQ57CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mе┴е═з°ж█▒j╡є31~60╕╣,66.4,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050531,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0720801,105.92,5,2,2,ж│,╡L,2500000,23603,,0.0,0,,RPTNMLTKPHLFFDQ67CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mе┴е═з°лH╕q╡є31~60╕╣,84.14,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050524,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0690401,94.58,5,2,4,ж│,╡L,3800000,40178,,0.0,0,,RPUNMLTKPHLFFDQ77CA
ддоH╢m,дgжa,й╛╕qмq1~30жa╕╣,203.93,╣A,,,1050615,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2000000,9807,,0.0,0,,RPPNMLNLPHLFFDQ76CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mдЇ└Yз°ддйM╕Ї98л╤1~30╕╣,78.0,жэ,,,1050602,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0820614,160.77,4,3,2,ж│,╡L,4900000,30478,,0.0,0,,RPTOMLRLPHLFFDQ67CA
ддоH╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐дддоH╢m╢й┐│з°┤ЄеJнэ1~30╕╣,138.38,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050608,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0840426,143.03,4,3,3,ж│,╡L,2900000,20275,,0.0,0,,RPSNMLSLPHLFFDQ57CA
▒Ўдs╢m,дgжa,╣Lдsмq271~300жa╕╣,174.0,,д@пы╣A╖~░╧,╣Aкке╬жa,1050614,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,452400,2600,,0.0,0,,RPSNMLOJPHLFFEQ07CA
▒Ўдs╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐д▒Ўдs╢m▒Ўлnз°лn║a╡є31~60╕╣,68.0,жэ,,,1050528,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одgе[▒j┐j│y,0700421,71.04,3,2,2,ж│,╡L,2000000,28153,,0.0,0,,RPPNMLPJPHLFFEQ86CA
ж╦▒T╢m,дgжa,дsдlк∙мq1~30жa╕╣,498.0,,д@пы╣A╖~░╧,╣Aкке╬жa,1050530,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,ж│,1500000,3012,,0.0,0,,RPQNMLQJPHLFFEQ07CA
д╗╕}╢m,дgжa,┤фз└╝dмq┤фм№дpмq1~30жa╕╣,2469.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050529,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1920000,778,,0.0,0,,RPXNMLPJPHLFFBQ47DA
д╙лOел,дgжa,лс╝цмqлс╝цдpмq301~330жa╕╣,4668.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050624,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,10736400,2300,,0.0,0,,RPSNMLOJPHLFFDQ07DA
╡f╕Ї╢m,дgжa,д║┬|мq1~30жa╕╣,963.0,╣A,,,1050523,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,230000,239,,0.0,0,и№╢┼┼v╢┼░╚╝v┼Tй╬╢┼░╚йш└vдзецйЎбCлц╢Rлц╜цбC,RPVNMLLKPHLFFEQ27DA
дjкL┬э,дgжa,жшкLмq61~90жa╕╣,178.56,жэ,,,1050610,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4559078,25532,,0.0,0,зt╝Wл╪й╬е╝╡n░Oл╪клбC,RPQNMLOJPHLFFCQ86EA
дjкL┬э,дgжa,жшкLмq61~90жa╕╣,130.95,жэ,,,1050610,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3050124,23292,,0.0,0,,RPRNMLOJPHLFFCQ96EA
е┴╢п╢m,дgжa,дj▒Tмq151~180жa╕╣,199.1,,д@пы╣A╖~░╧,╣Aкке╬жa,1050624,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,232500,1168,,0.0,0,,RPQNMLPJPHLFFCQ96EA
╖s┤ф╢m,дgжa,дым▄╝цмqм▄╝цдpмq331~360жa╕╣,2660.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050609,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4256000,1600,,0.0,0,,RPRNMLPLPHLFFCQ27EA
е┴╢п╢m,дgжa,┬∙┤ймq331~360жa╕╣,1467.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050624,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1885000,1285,,0.0,0,,RPPNMLRJPHLFFCQ07EA
дЇдW╢m,дgжa,дЇкFмq631~660жa╕╣,171.77,жэ,,,1050622,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4250000,24742,,0.0,0,,RPSNMLPJPHLFFDQ17DA
▒Ўдs╢m,дgжa,дjйWмq91~120жa╕╣,135.03,,н╖┤║░╧,╣Aкке╬жa,1050620,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1600000,11849,,0.0,0,╗∙кўзtжaдWклбB┐╦д═пSоэ├ЎлY╢бдзецйЎбC,RPQNMLRJPHLFFEQ17CA
дЇдW╢m,дgжa,▒Tдl└Yмq▒Tдl└Yдpмq121~150жa╕╣,2368.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050527,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,10028000,4235,,0.0,0,,RPQNMLQKPHLFFDQ07CA
дЇдW╢m,дgжa,╖s╡fдl╝dмq1951~1980жa╕╣,481.82,,пSйw╣A╖~░╧,╣Aкке╬жa,1050617,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,300000,623,,0.0,0,,RPPNMLPJPHLFFDQ76CA
дЇдW╢m,й╨жa(дgжa+л╪кл)+иожь,╣┼╕q┐ддЇдW╢mмh╢mз°мhдlкL151~180╕╣,32.09,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050623,дgжa1л╪кл1иожь1,дн╝h,дн╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0860524,114.16,3,2,1,ж│,ж│,1800000,15767,йY╣D╛ў▒ё,0.0,0,,RPQNMLPJPHLFFDQ86CA
дjкL┬э,дgжa,дj┤Ємq┤Єе_дpмq91~120жa╕╣,1204.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050615,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1300000,1080,,0.0,0,┐╦д═пSоэ├ЎлY╢бдзецйЎбC,RPTNMLPJPHLFFCQ07CA
дjкL┬э,й╨жa(дgжa+л╪кл),╣┼╕q┐ддjкL┬эй·йMи╜11╛Fе╠╜й▒[╕Ї224л╤61~90╕╣,83.0,жэ,,,1050615,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0821227,172.03,3,2,2,ж│,╡L,3600000,20927,,0.0,0,,RPUNMLPJPHLFFCQ17CA
дjкL┬э,дgжa,ддкLмq451~480жa╕╣,223.93,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050504,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1000000,4466,,0.0,0,,RPQNMLLKPHLFFCQ09CA
