編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLMLPHLFFBQ96CA,26,127.37,住商用,鋼筋混凝土造,79年4月16日,三層,二層 三層 一層
RPUNMLLJPHLFFCQ76CA,26,155.58,住家用,見其他登記事項,79年9月19日,二層,一層 二層 電梯樓梯間
RPSNMLPJPHLFFCQ96CA,28,251.53,住家用,見其他登記事項,77年1月20日,三層,一層 二層 三層
RPRNMLQKPHLFFDQ17CA,1,167.57,見其他登記事項,見其他登記事項,104年9月10日,三層,一層 二層 三層 見其他登記事項
RPSNMLTKPHLFFDQ57CA,34,114.80,住商用,鋼筋混凝土加強磚造,70年12月28日,二層,一層 二層 騎樓
RPTNMLTKPHLFFDQ67CA,33,105.92,住家用,鋼筋混凝土加強磚造,72年8月1日,二層,一層 二層
RPUNMLTKPHLFFDQ77CA,36,94.58,住家用,鋼筋混凝土加強磚造,69年4月1日,二層,一層 二層
RPTOMLRLPHLFFDQ67CA,23,160.77,住家用,鋼筋混凝土造,82年6月14日,三層,一層 二層 三層
RPSNMLSLPHLFFDQ57CA,21,143.03,住家用,鋼筋混凝土造,84年4月26日,三層,一層 二層 三層
RPPNMLPJPHLFFEQ86CA,35,71.04,見其他登記事項,鋼筋混凝土加強磚造,70年4月21日,二層,一層 二層 屋頂突出物
RPQNMLPJPHLFFDQ86CA,19,77.85,住家用,鋼筋混凝土造,86年5月24日,五層,五層
RPQNMLPJPHLFFDQ86CA,19,11.40,見其他登記事項,鋼筋混凝土造,86年5月24日,五層,
RPQNMLPJPHLFFDQ86CA,19,24.91,見其他登記事項,鋼筋混凝土造,86年5月24日,五層,
RPUNMLPJPHLFFCQ17CA,22,172.03,住家用,鋼筋混凝土造,82年12月27日,三層,一層 二層 三層 電梯樓梯間
RPSNMLLKPHLFFBQ56CA,22,88.02,住家用,鋼筋混凝土造,83年9月10日,十二層,
RPSNMLLKPHLFFBQ56CA,22,8.44,見其他登記事項,鋼筋混凝土造,83年9月10日,十二層,
RPSNMLLKPHLFFBQ56CA,22,6.83,見其他登記事項,鋼筋混凝土造,83年9月10日,十三層,
