鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
屏東巿,房地(土地+建物),屏東縣屏東巿公裕街181~210號,70.0,住,,,1050615,土地1建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,0830428,214.86,5,2,3,有,無,5800000,26994,,0.0,0,,RPPNMLOJPHLFFAT66CA
屏東巿,土地,萬年段391~420地號,98.0,住,,,1050530,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1617000,16500,,0.0,0,"親友、員工或其他特殊關係間之交易(祖孫之間,建物贈與)。",RPUNMLOJPHLFFAT17CA
屏東巿,土地,大春段121~150地號,398.2,,鄉村區,乙種建築用地,1050605,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3300000,8287,,0.0,0,,RPVNMLPJPHLFFAT37CA
屏東巿,房地(土地+建物),屏東縣屏東巿公勇路61~90號,17.62,住,,,1050622,土地4建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0830526,116.82000000000001,3,2,2,有,有,2300000,19688,,0.0,0,,RPPNMLPKPHLFFAT86CA
屏東巿,土地,萬年段781~810地號,92.0,住,,,1050505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1113200,12100,,0.0,0,,RPOPMLRLPHLFFAT27CA
屏東巿,建物,屏東縣屏東巿建國路217巷1~30號,0.0,,,,1050505,土地0建物1車位0,全,二層,透天厝,住家用,加強磚造,0730515,107.96,3,2,2,有,無,1886800,17477,,0.0,0,,RPPPMLRLPHLFFAT37CA
里港鄉,土地,武洛段991~1020地號,2870.0,,一般農業區,農牧用地,1050623,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5600000,1951,,0.0,0,,RPPNMLOJPHLFFBT76CA
fa72埔鄉,房地(土地+建物),屏東縣鹽埔鄉德二街1~30號,117.0,,鄉村區,乙種建築用地,1050525,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1030731,210.09,5,2,5,有,無,5650000,26893,,0.0,0,,RPQNMLTKPHLFFBT47CA
內埔鄉,土地,龍潭段541~570地號,1879.23,農,,,1050526,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4600000,2448,,0.0,0,,RPSOMLOJPHLFFCT27CA
萬巒鄉,土地,赤山段1~30地號,933.0,,一般農業區,水利用地,1050509,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,643,,0.0,0,,RPPNMLQJPHLFFCT07CA
潮州鎮,房地(土地+建物),屏東縣潮州鎮大同路211~240號,105.24,,一般農業區,甲種建築用地,1050607,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0800815,235.82,4,2,4,有,無,4900000,20779,,0.0,0,,RPPNMLNJPHLFFCT76CA
潮州鎮,房地(土地+建物)+車位,屏東縣潮州鎮順昌街1~30號,36.12,住,,,1050529,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811102,138.43,3,1,2,有,無,2800000,20227,坡道平面,0.0,0,,RPXNMLOJPHLFFCT67CA
萬巒鄉,土地,成德段181~210地號,621.76,,一般農業區,農牧用地,1050623,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,402,,0.0,0,,RPOOMLPKPHLFFCT07CA
潮州鎮,房地(土地+建物),屏東縣潮州鎮光明路91~120號,40.71,,鄉村區,乙種建築用地,1050614,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820501,132.51,3,1,1,有,無,1680000,12678,,0.0,0,,RPRNMLSKPHLFFCT57CA
潮州鎮,房地(土地+建物),屏東縣潮州鎮壽福路60巷1~30號,129.8,住,,,1050516,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1050205,230.44,5,2,4,有,無,8800000,38188,,0.0,0,,RPSNMLSKPHLFFCT67CA
潮州鎮,房地(土地+建物),屏東縣潮州鎮四維路27巷1~30號,48.36,住,,,1050617,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,0651021,87.6,4,1,3,有,無,2450000,27968,,0.0,0,,RPQOMLKLPHLFFCT86CA
潮州鎮,房地(土地+建物),屏東縣潮州鎮志成路518巷5弄1~30號,105.33,住,,,1050526,土地2建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1020902,167.63,5,2,3,有,無,6100000,36390,,0.0,0,,RPVNMLMLPHLFFCT47CA
萬巒鄉,房地(土地+建物),屏東縣萬巒鄉赤山村建興路31~60號,72.6,,鄉村區,乙種建築用地,1050613,土地0建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0840117,143.75,3,2,2,有,無,166985,1162,,0.0,0,親友,RPQNMLRLPHLFFCT47CA
東港鎮,土地,大東段1321~1350地號,225.73,其他,,,1050617,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,443848,1966,,0.0,0,,RPSNMLPJPHLFFDT37CA
東港鎮,房地(土地+建物),屏東縣東港鎮環美路31~60號,237.18,,一般農業區,丁種建築用地,1050601,土地1建物1車位0,全,二層,透天厝,廠房,鋼筋混凝土構造,1011001,261.03,5,2,4,有,無,9200000,35245,,0.0,0,,RPVNMLPJPHLFFDT67CA
