編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLOJPHLFFAT66CA,22,214.86,住商用,鋼筋混凝土造,83年4月28日,五層,一層 二層 三層 四層 五層 騎樓
RPPNMLPKPHLFFAT86CA,22,92.29,見其他登記事項,鋼筋混凝土造,83年5月26日,十四層,九層
RPPNMLPKPHLFFAT86CA,22,24.53,見其他登記事項,鋼筋混凝土造,83年5月26日,十四層,
RPPPMLRLPHLFFAT37CA,32,107.96,住家用,加強磚造,73年5月15日,二層,一層 二層
RPQNMLTKPHLFFBT47CA,2,210.09,住家用,鋼筋混凝土造,103年7月31日,三層,一層 二層 三層
RPPNMLNJPHLFFCT76CA,25,235.82,住商用,鋼筋混凝土造,80年8月15日,四層,一層 二層 三層 四層
RPXNMLOJPHLFFCT67CA,24,106.17,住家用,鋼筋混凝土造,81年11月2日,六層,三層
RPXNMLOJPHLFFCT67CA,24,32.26,見其他登記事項,鋼筋混凝土造,81年11月2日,六層,
RPRNMLSKPHLFFCT57CA,23,107.59,住家用,鋼筋混凝土造,82年5月1日,五層,三層
RPRNMLSKPHLFFCT57CA,23,6.92,見其他登記事項,鋼筋混凝土造,82年5月1日,五層,
RPRNMLSKPHLFFCT57CA,23,18.00,見其他登記事項,鋼筋混凝土造,82年5月1日,五層,
RPSNMLSKPHLFFCT67CA,,230.44,見其他登記事項,見其他登記事項,105年2月5日,三層,一層 二層 三層 見其他登記事項
RPQOMLKLPHLFFCT86CA,40,87.60,住家用,加強磚造,65年10月21日,三層,一層 二層 三層
RPVNMLMLPHLFFCT47CA,3,167.63,住家用,見其他登記事項,102年9月2日,三層,一層 二層 三層
RPQNMLRLPHLFFCT47CA,21,143.75,住家用,鋼筋混凝土造,84年1月17日,三層,一層 二層 三層
RPVNMLPJPHLFFDT67CA,4,261.03,廠房,鋼筋混凝土構造,101年10月1日,二層,一層 二層
RPWOMLOKPHLFFAT67DA,25,213.60,住商用,鋼筋混凝土造,80年11月20日,四層,一層 二層 三層 四層 騎樓
RPSNMLOLPHLFFET57CA,9,221.38,住家用,鋼筋混凝土造,96年8月31日,四層,一層 二層 三層 四層
RPTNMLLLPHLFFCT17CA,1,234.58,見其他登記事項,見其他登記事項,104年7月10日,四層,一層 二層 三層 四層 騎樓 見其他登記事項
RPPNMLOLPHLFFCT07CA,35,103.74,住家用,加強磚造,70年1月29日,二層,一層 二層 騎樓
RPVNMLSLPHLFFCT08CA,,242.60,見其他登記事項,見其他登記事項,105年1月8日,四層,一層 二層 三層 四層 見其他登記事項
RPWNMLSLPHLFFCT18CA,,237.32,住家用,見其他登記事項,105年4月22日,四層,一層 二層 三層 四層
RPPQMLQJPHLFFCT37CA,38,163.20,住商用,加強磚造,67年1月26日,三層,一層 二層 三層 騎樓
RPRNMLTKPHLFFBT57CA,2,208.47,住家用,鋼筋混凝土造,103年7月31日,三層,一層 二層 三層
RPWNMLPKPHLFFAT57CA,37,81.20,住商用,加強磚造,68年3月21日,二層,一層 二層
RPVOMLPKPHLFFAT57CA,22,162.38,住家用,鋼筋混凝土造,83年3月24日,三層,一層 二層 三層
RPSNMLSKPHLFFAT47CA,1,224.67,住家用,鋼筋混凝土造,104年10月27日,三層,一層 二層 三層 屋頂突出物
RPXNMLOJPHLFFAT47CA,26,259.30,住商用,鋼筋混凝土造,79年7月1日,四層,一層 二層 三層 四層 騎樓
RPTNMLPJPHLFFAT17CA,16,123.36,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,十二層
RPTNMLPJPHLFFAT17CA,16,35.53,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPWNMLQJPHLFFAT57CA,12,189.37,見其他登記事項,鋼筋混凝土造,93年9月15日,三層,一層 二層 三層
RPXNMLQJPHLFFAT67CA,1,160.48,見其他登記事項,鋼筋混凝土造,104年2月11日,三層,一層 二層 三層 屋頂突出物
RPUOMLMKPHLFFAT17CA,1,224.67,住家用,鋼筋混凝土造,104年10月27日,三層,一層 二層 三層 屋頂突出物
RPTNMLOKPHLFFAT17CA,,95.99,見其他登記事項,鋼筋混凝土造,105年2月26日,五層,五層 見其他登記事項
RPTNMLOKPHLFFAT17CA,,33.67,見其他登記事項,鋼筋混凝土造,105年2月26日,五層,
RPWNMLOKPHLFFAT47CA,,73.36,見其他登記事項,鋼筋混凝土造,105年2月26日,五層,四層
RPWNMLOKPHLFFAT47CA,,33.67,見其他登記事項,鋼筋混凝土造,105年2月26日,五層,
RPRNMLQJPHLFFAT07CA,1,193.43,住家用,鋼筋混凝土造,104年4月10日,三層,一層 二層 三層
RPVNMLQJPHLFFAT47CA,39,105.90,住家用,鋼筋混凝土加強磚造,66年2月14日,二層,一層 二層 騎樓
RPOPMLPKPHLFFAT96CA,12,191.84,見其他登記事項,鋼筋混凝土造,93年10月27日,四層,一層 二層 三層 四層
