鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
花蓮市,房地(土地+建物),花蓮縣花蓮巿富安路91~120號,3.93,商,,,1050616,土地1建物1車位0,六層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860827,31.76,1,1,1,有,無,1120000,35264,,0.0,0,,RPPNMLOJPHLFFAU76CA
秀林鄉,土地,上崇德段301~330地號,206.09,其他,,,1050624,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,75000,364,,0.0,0,原保地,RPUNMLOJPHLFFAU27CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿中福路145巷1~30號,75.0,住,,,1050608,土地1建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0590824,58.46,2,1,1,有,無,3500000,59870,,0.0,0,,RPPNMLPJPHLFFAU86CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南埔八街148巷1~30號,88.0,住,,,1050602,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0680727,90.0,4,2,2,有,無,6850000,76111,,0.0,0,,RPQNMLPJPHLFFAU96CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿國富九街31~60號,14.08,住,,,1050616,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830518,62.42,2,1,1,有,有,2800000,44857,,0.0,0,,RPROMLQJPHLFFAU27CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿中和街211~240號,20.92,住,,,1050602,土地2建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890807,159.20999999999998,3,1,2,有,有,6000000,37686,,0.0,0,,RPQOMLPKPHLFFAU17CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南海十街181~210號,147.0,,特定農業區,甲種建築用地,1050614,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0840727,168.51,4,2,2,有,無,8000000,47475,,0.0,0,,RPOPMLPLPHLFFAU17CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿中美十三街61~90號,15.62,住,,,1050623,土地1建物1車位0,一層，夾層,五層,套房(1房1廳1衛),住家用,見其他登記事項,0851012,60.730000000000004,1,1,1,有,有,2500000,41166,,0.0,0,,RPQPMLQLPHLFFAU47CA
光復鄉,房地(土地+建物),花蓮縣光復鄉中正路一段271~300號,82.0,住,,,1050618,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0680126,114.42,3,2,2,有,無,2500000,21849,,0.0,0,,RPQNMLOJPHLFFBU96CA
瑞穗鄉,土地,瑞新段61~90地號,98.0,住,,,1050622,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,13265,,0.0,0,含未登記建物，申報金額由權利人提供。,RPPNMLPJPHLFFCU07CA
萬榮鄉,土地,西寶段211~240地號,2511.12,,特定農業區,農牧用地,1050527,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1100000,438,,0.0,0,,RPQNMLRJPHLFFBU27CA
秀林鄉,土地,上水源段511~540地號,2565.36,,山坡地保育區,林業用地,1050615,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,450000,175,,0.0,0,,RPSNMLPJPHLFFAU37EA
富里鄉,土地,東竹段541~570地號,3503.0,,一般農業區,農牧用地,1050624,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1410000,403,,0.0,0,,RPQNMLOJPHLFFCU27EA
玉里鎮,土地,高寮段1111~1140地號,119.53,,一般農業區,水利用地,1040601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,28687,240,,0.0,0,,RPPNMLNKPHLFFCU17EA
鳳林鎮,土地,北林段181~210地號,205.1,,特定農業區,農牧用地,1050519,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,375000,1828,,0.0,0,國產署標售逾期未辦繼承案件,RPTNMLOJPHLFFBU47EA
新城鄉,土地,草林段301~330地號,59.42,住,,,1050527,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,558548,9400,,0.0,0,向政府機關承購之案件。,RPQOMLMKPHLFFAU96DA
富里鄉,土地,羅山段91~120地號,257.46,,鄉村區,乙種建築用地,1050608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2886000,11210,,0.0,0,,RPSNMLPJPHLFFCU37CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉太昌路511~540號,90.67,,鄉村區,乙種建築用地,1050616,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0940217,214.61,5,2,4,有,無,8500000,39607,,0.0,0,,RPXOMLSLPHLFFAU28CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿東興二街31~60號,42.76,住,,,1050618,土地1建物1車位0,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0911121,176.92000000000002,3,2,2,有,有,6380000,36061,,0.0,0,,RPVNMLLLPHLFFAU27CA
吉安鄉,土地,太昌段2011~2040地號,322.0,住,,,1050622,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,43000000,133540,,0.0,0,含增建或未登記建物。,RPVOMLLLPHLFFAU37CA
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉農墾三街1~30號,915.12,,一般農業區,農牧用地,1050606,土地2建物1車位0,一層,一層,其他,住家用,加強磚造,0981001,60.18,0,0,0,無,無,4250000,70621,,0.0,0,,RPQPMLTLPHLFFAU77CA
秀林鄉,土地,下崇德段421~450地號,2000.0,其他,,,1050530,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,1000,,0.0,0,,RPVNMLMJQHLFFAU27CA
花蓮市,房地(土地+建物),花蓮縣吉安鄉建昌路1~30號,18.65,住,,,1050603,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831003,78.96,2,2,1,有,有,3600000,45593,,0.0,0,,RPUPMLPKPHLFFAU67CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉明仁二街299巷1~30號,122.68,,一般農業區,甲種建築用地,1050525,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0741212,105.29,4,2,2,有,無,4900000,46538,,0.0,0,含增建,RPSPMLSKPHLFFAU77CA
