編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLOJPHLFFAU76CA,19,22.01,住家用,鋼筋混凝土造,86年8月27日,七層,六層
RPPNMLOJPHLFFAU76CA,19,9.75,共有部份,鋼筋混凝土造,86年8月27日,七層,
RPPNMLPJPHLFFAU86CA,46,58.46,住家用,見其他登記事項,59年8月24日,一層,一層 騎樓
RPQNMLPJPHLFFAU96CA,37,90.00,住家用,鋼筋混凝土加強磚造,68年7月27日,二層,一層 二層
RPROMLQJPHLFFAU27CA,22,42.29,住家用,鋼筋混凝土造,83年5月18日,六層,三層
RPROMLQJPHLFFAU27CA,22,20.13,共有部份,鋼筋混凝土造,83年5月18日,六層,
RPQOMLPKPHLFFAU17CA,16,110.82,住家用,鋼筋混凝土造,89年8月7日,十二層,二層
RPQOMLPKPHLFFAU17CA,16,28.75,共有部份,鋼筋混凝土造,89年8月7日,十五層,
RPQOMLPKPHLFFAU17CA,16,.95,共有部份,鋼筋混凝土造,89年8月7日,十五層,
RPQOMLPKPHLFFAU17CA,16,18.69,共有部份,鋼筋混凝土造,89年8月7日,十二層,
RPOPMLPLPHLFFAU17CA,21,168.51,住家用,鋼筋混凝土造,84年7月27日,三層,一層 二層 三層
RPQPMLQLPHLFFAU47CA,20,42.56,住家用,見其他登記事項,85年10月12日,五層,一層 夾層
RPQPMLQLPHLFFAU47CA,20,18.17,共有部份,鋼筋混凝土造,85年10月12日,五層,
RPQNMLOJPHLFFBU96CA,37,114.42,住商用,鋼筋混凝土加強磚造,68年1月26日,二層,一層 二層 騎樓
RPXOMLSLPHLFFAU28CA,11,214.61,住家用,鋼筋混凝土造,94年2月17日,四層,一層 二層 三層 四層
RPVNMLLLPHLFFAU27CA,14,106.23,住家用,鋼筋混凝土造,91年11月21日,十一層,二層
RPVNMLLLPHLFFAU27CA,14,70.69,共有部份,鋼筋混凝土造,91年11月21日,十一層,
RPQPMLTLPHLFFAU77CA,7,60.18,住家用,加強磚造,98年10月1日,一層,一層
RPUPMLPKPHLFFAU67CA,22,56.15,住家用,鋼筋混凝土造,83年10月3日,六層,二層
RPUPMLPKPHLFFAU67CA,22,22.81,共有部份,鋼筋混凝土造,83年10月3日,六層,
RPSPMLSKPHLFFAU77CA,30,105.29,住家用,鋼筋混凝土加強磚造,74年12月12日,二層,一層 二層 屋頂突出物
RPOOMLQJPHLFFAU96CA,19,68.56,住家用,鋼筋混凝土造,86年8月27日,九層,四層 五層
RPOOMLQJPHLFFAU96CA,19,9.74,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPOOMLQJPHLFFAU96CA,19,8.98,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPOOMLQJPHLFFAU96CA,19,2.76,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPTNMLPJPHLFFAU27CA,16,45.75,住家用,鋼筋混凝土造,89年8月7日,十二層,九層
RPTNMLPJPHLFFAU27CA,16,11.80,共有部份,鋼筋混凝土造,89年8月7日,十五層,
RPTNMLPJPHLFFAU27CA,16,.40,共有部份,鋼筋混凝土造,89年8月7日,十五層,
RPTNMLPJPHLFFAU27CA,16,7.72,共有部份,鋼筋混凝土造,89年8月7日,十二層,
RPWNMLPJPHLFFAU57CA,22,208.50,見其他登記事項,鋼筋混凝土造,83年6月24日,四層,一層 二層 三層 四層 地下層
RPPNMLQJPHLFFAU96CA,1,336.38,住家用,鋼筋混凝土造,104年3月20日,四層,一層 二層 三層 四層
RPTNMLMKPHLFFAU07CA,,263.89,農舍,鋼筋混凝土造,105年4月14日,四層,一層 二層 三層 四層 屋頂突出物
RPOPMLNKPHLFFAU86CA,24,20.13,見其他登記事項,鋼筋混凝土造,81年9月30日,八層,五層
RPOPMLNKPHLFFAU86CA,24,6.70,共有部份,鋼筋混凝土造,81年9月30日,八層,
RPWNMLMKPHLFFAU37CA,17,120.96,住家用,鋼筋混凝土造,88年4月14日,五層,五層
RPWNMLMKPHLFFAU37CA,17,12.91,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPWNMLMKPHLFFAU37CA,17,8.26,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPTNMLQJPHLFFAU37CA,30,115.12,住家用,鋼筋混凝土造,75年4月2日,五層,三層
RPTNMLQJPHLFFAU37CA,30,14.79,共有部份,鋼筋混凝土造,75年4月2日,五層,
RPTNMLQJPHLFFAU37CA,30,7.70,共有部份,鋼筋混凝土造,75年4月2日,五層,
RPQOMLQJPHLFFAU17CA,2,233.64,住家用,鋼筋混凝土造,103年2月13日,四層,一層 二層 三層 四層 屋頂突出物
RPUOMLQJPHLFFAU57CA,12,354.14,住商用,鋼筋混凝土造,93年3月18日,三層,三層 屋頂突出物 一層 二層
RPQPMLSKPHLFFAU57CA,25,187.42,住商用,鋼筋混凝土造,80年1月4日,三層,見其他登記事項 一層 二層 三層 屋頂突出物
RPTOMLPLPHLFFAU57CA,30,26.45,商業用,鋼筋混凝土造,75年7月12日,五層,二層
RPTOMLPLPHLFFAU57CA,30,5.88,共有部份,鋼筋混凝土造,75年7月12日,五層,
