編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPPNMLOJPHLFFAU76CA,裕民段,3.93,都市：商
RPUNMLOJPHLFFAU27CA,上崇德段,8.57,都市：其他
RPUNMLOJPHLFFAU27CA,上崇德段,3.29,都市：其他
RPUNMLOJPHLFFAU27CA,上崇德段,1.05,都市：其他
RPUNMLOJPHLFFAU27CA,上崇德段,.76,都市：其他
RPUNMLOJPHLFFAU27CA,上崇德段,192.41,都市：其他
RPPNMLPJPHLFFAU86CA,福安段,75.00,都市：住
RPQNMLPJPHLFFAU96CA,仁義段,88.00,都市：住
RPROMLQJPHLFFAU27CA,莊敬段,14.08,都市：住
RPQOMLPKPHLFFAU17CA,主權段,20.73,都市：住
RPQOMLPKPHLFFAU17CA,德安段,.19,都市：住
RPOPMLPLPHLFFAU17CA,南埔段,147.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQPMLQLPHLFFAU47CA,民勤段,15.62,都市：住
RPQNMLOJPHLFFBU96CA,大安段,82.00,都市：住
RPPNMLPJPHLFFCU07CA,瑞新段,98.00,都市：住
RPQNMLRJPHLFFBU27CA,西寶段,2511.12,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLPJPHLFFAU37EA,上水源段,2565.36,非都市：山坡地保育區 ; 非都市編定：林業用地
RPQNMLOJPHLFFCU27EA,東竹段,2203.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLOJPHLFFCU27EA,東竹段,1300.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLNKPHLFFCU17EA,高寮段,119.53,非都市：一般農業區 ; 非都市編定：水利用地
RPTNMLOJPHLFFBU47EA,北林段,205.10,非都市：特定農業區 ; 非都市編定：農牧用地
RPQOMLMKPHLFFAU96DA,草林段,59.42,都市：住
RPSNMLPJPHLFFCU37CA,羅山段,257.46,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLSLPHLFFAU28CA,永安段,90.67,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLLLPHLFFAU27CA,民意段,42.76,都市：住
RPVOMLLLPHLFFAU37CA,福祥段,142.00,都市：住
RPVOMLLLPHLFFAU37CA,太昌段,180.00,都市：住
RPQPMLTLPHLFFAU77CA,共和段,96.60,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPQPMLTLPHLFFAU77CA,共和段,818.52,非都市：一般農業區 ; 非都市編定：農牧用地
RPVNMLMJQHLFFAU27CA,下崇德段,246.90,都市：其他
RPVNMLMJQHLFFAU27CA,下崇德段,298.28,都市：其他
RPVNMLMJQHLFFAU27CA,下崇德段,1454.82,都市：其他
RPUPMLPKPHLFFAU67CA,自強段,18.65,都市：住
RPSPMLSKPHLFFAU77CA,永安段,122.68,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPOOMLQJPHLFFAU96CA,民意段,15.90,都市：住
RPTNMLPJPHLFFAU27CA,主權段,8.55,都市：住
RPTNMLPJPHLFFAU27CA,德安段,.08,都市：住
RPWNMLPJPHLFFAU57CA,碧雲段,102.57,都市：住
RPPNMLQJPHLFFAU96CA,莊敬段,154.00,都市：住
RPTNMLMKPHLFFAU07CA,草林段,1645.45,都市：農
RPOPMLNKPHLFFAU86CA,富國段,5.95,都市：其他
RPWNMLMKPHLFFAU37CA,廣賢段,54.28,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLQJPHLFFAU37CA,主權段,38.19,都市：住
RPTNMLQJPHLFFAU37CA,主權段,.36,都市：其他
RPQOMLQJPHLFFAU17CA,華興段,129.89,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLQJPHLFFAU17CA,華興段,96.15,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLQJPHLFFAU17CA,華興段,7.94,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLQJPHLFFAU57CA,富國段,154.00,都市：商
RPUOMLLKPHLFFAU17CA,大湖腳段,261.62,非都市：一般農業區 ; 非都市編定：農牧用地
RPQPMLSKPHLFFAU57CA,宜昌段,88.75,都市：商
RPOPMLTKPHLFFAU47CA,永興段,562.69,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLTKPHLFFAU47CA,永興段,357.91,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLPLPHLFFAU57CA,富國段,5.45,都市：商
RPOOMLTLPHLFFAU47CA,初音段,2264.37,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLRJPHLFFCU47CA,萬寧段,413.05,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLRJPHLFFCU47CA,萬寧段,413.05,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLPJPHLFFBU07CA,大興段,3000.01,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLPJPHLFFBU17EA,新白陽段,6750.09,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLPJPHLFFBU17EA,新白陽段,2041.81,非都市：山坡地保育區 ; 非都市編定：林業用地
RPQOMLQJPHLFFAU37EA,林森段,77.50,都市：其他
RPPNMLRJPHLFFCU37DA,玉城段,510.00,都市：住
RPPNMLLKPHLFFBU86EA,水車段,1904.56,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLLKPHLFFCU76CA,瑞強段,101.00,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPXNMLRLPHLFFAU08CA,福祥段,66.00,都市：住
RPXNMLTKPHLFFAU18CA,福德段,1434.00,都市：農
RPVOMLPKPHLFFAU67CA,德安段,50.00,都市：住
RPQNMLLKPHLFFAU66CA,路內段,221.24,都市：農
RPPOMLLKPHLFFAU66CA,仁義段,82.00,都市：住
RPSOMLQJPHLFFAU37CA,東升段,1320.00,非都市：風景區 ; 非都市編定：農牧用地
RPUNMLMKPHLFFAU17CA,富國段,15.04,都市：其他
RPVNMLMKPHLFFAU27CA,福興段,81.00,都市：住
RPPNMLNKPHLFFAU76CA,豐山段,89.03,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPPMLLKPHLFFAU76CA,民孝段,14.44,都市：住
RPRNMLLKPHLFFBU07EA,馬佛段,936.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLPKPHLFFBU27EA,悅付南段,350.27,非都市：一般農業區 ; 非都市編定：農牧用地
RPOOMLNKPHLFFAU76CA,民德段,24.89,都市：住
RPUNMLNKPHLFFAU27CA,廣安段,144.00,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPWOMLLKPHLFFAU37CA,國風段,27.90,都市：住
RPWOMLLKPHLFFAU37CA,國風段,.29,都市：住
RPOPMLLKPHLFFAU66CA,南華段,177.85,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPOPMLLKPHLFFAU66CA,南華段,132.87,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQNMLMJQHLFFAU76CA,富國段,10.41,都市：其他
RPQNMLLKPHLFFBU96EA,大安段,97.00,都市：住
RPOOMLMLPHLFFAU96EA,布拉旦段,175.50,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLPKPHLFFAU77EA,主權段,22.71,都市：住
RPVNMLPKPHLFFAU77EA,主權段,.21,都市：其他
RPXNMLTLPHLFFAU28CA,佳民段,2496.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLPLPHLFFAU57CA,福祥段,14.41,都市：住
RPUNMLPLPHLFFAU57CA,福祥段,.75,都市：住
RPUOMLNJQHLFFAU37CA,明義段,5.00,都市：其他
RPWPMLLJQHLFFAU47CA,光學段,892.42,非都市：一般農業區 ; 非都市編定：農牧用地
RPXNMLNKPHLFFAU57CA,樹人段,10.49,都市：商
RPQNMLNKPHLFFAU86CA,宜安段,15.27,都市：住
RPSOMLMKPHLFFAU07CA,自強段,5.63,都市：住
RPSOMLNKPHLFFAU17CA,林森段,25.08,都市：住
RPXOMLPKPHLFFAU87CA,主商段,129.00,都市：住
RPXOMLPKPHLFFAU87CA,主商段,69.00,都市：住
RPXOMLPKPHLFFAU87CA,主商段,5.00,都市：其他
RPPNMLOKPHLFFAU86CA,豐山段,150.33,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPPNMLOKPHLFFAU86CA,豐山段,363.61,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLOKPHLFFAU86CA,豐山段,212.98,非都市：一般農業區 ; 非都市編定：農牧用地
RPPOMLOKPHLFFAU96CA,民意段,27.60,都市：住
RPOOMLTKPHLFFAU37CA,德安段,109.00,都市：住
RPOOMLTKPHLFFAU37CA,德安段,2.00,都市：住
RPPOMLTKPHLFFAU47CA,富國段,5.16,都市：住
RPTOMLTKPHLFFAU87CA,自強段,105.00,都市：住
RPQNMLTKPHLFFBU77EA,萬利段,129.87,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLKLPHLFFAU96CA,德姆南段,7.73,都市：其他
RPTNMLKLPHLFFAU96CA,德姆南段,216.84,都市：其他
RPTNMLKLPHLFFAU96CA,德姆南段,619.90,都市：農
RPPOMLKLPHLFFAU66CA,四維段,119.30,都市：農
RPPOMLKLPHLFFAU66CA,四維段,42.02,都市：農
RPPOMLKLPHLFFAU66CA,四維段,8.14,都市：農
RPPOMLKLPHLFFAU66CA,四維段,18.47,都市：農
RPPOMLKLPHLFFAU66CA,四維段,80.13,都市：農
RPPOMLKLPHLFFAU66CA,四維段,17.53,都市：農
RPROMLTKPHLFFAU67CA,德安段,13.92,都市：住
RPTNMLOKPHLFFAU27CA,下台地段,1046.32,非都市：一般農業區 ; 非都市編定：農牧用地
RPPPMLPKPHLFFAU17CA,光學段,1126.27,非都市：一般農業區 ; 非都市編定：農牧用地
RPUOMLSKPHLFFAU87CA,北濱段,.99,都市：商
RPXOMLSKPHLFFAU18CA,林森段,11.00,都市：商
RPPNMLSKPHLFFAU27CA,慈安段,24.00,都市：住
RPROMLNKPHLFFAU07CA,廣賢段,54.28,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPPMLNKPHLFFAU96CA,豐山段,332.24,非都市：一般農業區 ; 非都市編定：農牧用地
RPPPMLNKPHLFFAU96CA,豐山段,421.47,非都市：一般農業區 ; 非都市編定：農牧用地
RPPPMLNKPHLFFAU96CA,豐山段,754.25,非都市：一般農業區 ; 非都市編定：農牧用地
RPQPMLNKPHLFFAU07CA,自強段,34.78,都市：住
RPTPMLNKPHLFFAU37CA,福興段,83.00,都市：住
RPSNMLNKPHLFFAU07CA,富國段,16.53,都市：其他
RPSOMLLJQHLFFAU96CA,富國段,338.00,都市：商
RPPNMLQJQHLFFAU07CA,功學段,127.11,都市：住
RPSOMLPLPHLFFAU47CA,仁和段,991.74,都市：農
