編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLPJPHLFFAU57CC,22,29.32,住家用,鋼筋混凝土造,83年6月10日,五層,
RPUNMLPJPHLFFAU57CC,22,4.14,共有部份,鋼筋混凝土造,83年6月10日,五層,
RPSNMLQJPHLFFAU47CC,20,52.34,住家用,鋼筋混凝土造,85年1月30日,五層,
RPSNMLQJPHLFFAU47CC,20,10.25,共有部份,鋼筋混凝土造,85年1月30日,五層,
RPUNMLQJPHLFFAU67CC,19,51.23,住家用,鋼筋混凝土造,86年6月20日,五層,
RPUNMLQJPHLFFAU67CC,19,10.66,共有部份,鋼筋混凝土造,86年6月20日,五層,
RPVNMLQJPHLFFAU77CC,21,29.40,住家用,鋼筋混凝土造,84年8月19日,十一層,
RPVNMLQJPHLFFAU77CC,21,8.60,共有部份,鋼筋混凝土造,84年8月19日,十一層,
RPSOMLLKPHLFFAU17CC,20,87.75,住家用,鋼筋混凝土造,85年6月11日,八層,
RPSOMLLKPHLFFAU17CC,20,18.63,共有部份,鋼筋混凝土造,85年6月11日,八層,
RPRPMLNKPHLFFAU37CC,23,92.98,住商用,鋼筋混凝土造,82年12月15日,六層,
RPRPMLNKPHLFFAU37CC,23,14.60,共有部份,鋼筋混凝土造,82年12月15日,七層,
RPRPMLNKPHLFFAU37CC,23,5.95,共有部份,鋼筋混凝土造,82年12月15日,六層,
RPSNMLOKPHLFFAU37CC,11,90.64,住商用,鋼筋混凝土造,94年7月12日,四層,
RPUNMLOKPHLFFAU57CC,11,248.93,住商用,鋼筋混凝土造,94年7月12日,四層,
RPTNMLPKPHLFFAU57CC,33,324.43,住家用,鋼筋混凝土造,72年5月16日,四層,
