鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
台東市,房地(土地+建物),臺東縣臺東巿建和一街3巷1~30號,396.55,住,,,1050610,土地2建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0730701,67.5,3,2,3,有,無,6000000,88889,,0.0,0,,RPPNMLMJPHLFFAV66CA
成功鎮,土地,富民段31~60地號,2552.42,,風景區,農牧用地,1050616,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3926666,1538,,0.0,0,,RPUNMLNKPHLFFBV47CA
池上鄉,土地,慶福段901~930地號,411.25,住,,,1050616,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9952000,24199,,0.0,0,,RPRNMLPJPHLFFCV37CA
關山鎮,土地,月野段991~1020地號,581.0,,特定農業區,農牧用地,1050623,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,688,,0.0,0,,RPQNMLMKPHLFFCV07CA
大武鄉,土地,南興段91~120地號,280.0,,鄉村區,乙種建築用地,1050613,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,448000,1600,,0.0,0,買方共4人.本案為2親等間交易,RPPNMLPJPHLFFDV27CA
台東市,土地,新園段691~720地號,5779.0,,特定農業區,農牧用地,1050612,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4600000,796,,0.0,0,,RPVOMLKLPHLFFAV37CA
台東市,房地(土地+建物),臺東縣臺東巿長沙街206巷15弄1~30號,58.76,住,,,1050531,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0840706,120.94,3,2,1,有,有,3650000,30180,,0.0,0,,RPUNMLOJPHLFFAV37CA
台東市,房地(土地+建物),臺東縣臺東巿中華路二段826巷10弄1~30號,89.38,,特定農業區,甲種建築用地,1050617,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690120,117.04,3,2,2,有,無,4350000,37167,,0.0,0,,RPXNMLPJPHLFFAV77CA
卑南鄉,土地,上源段301~330地號,1286.84,,山坡地保育區,農牧用地,1050425,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2400000,1865,,0.0,0,,RPSNMLQJPHLFFAV37CA
台東市,房地(土地+建物),臺東縣臺東巿中正路181~210號,62.0,住,,,1050605,土地1建物1車位0,全,二層,透天厝,住家用,鋼造,07901,92.33,2,1,1,有,無,4500000,48738,,0.0,0,,RPQNMLTKPHLFFAV57CA
台東市,房地(土地+建物),臺東縣臺東巿綏遠路二段239巷13弄1~30號,121.22,住,,,1050621,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0880929,173.76,4,2,3,有,無,4300000,24747,,0.0,0,,RPVNMLQLPHLFFAV87CA
