編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLMJPHLFFAV66CA,32,67.50,住家用,見其他登記事項,73年7月1日,一層,一層 騎樓
RPUNMLOJPHLFFAV37CA,21,102.49,見其他登記事項,鋼筋混凝土造,84年7月6日,四層,三層
RPUNMLOJPHLFFAV37CA,21,8.80,見其他登記事項,鋼筋混凝土造,84年7月6日,四層,
RPUNMLOJPHLFFAV37CA,21,.59,見其他登記事項,鋼筋混凝土造,84年7月6日,,
RPUNMLOJPHLFFAV37CA,21,.58,見其他登記事項,鋼筋混凝土造,84年7月6日,,
RPUNMLOJPHLFFAV37CA,21,1.45,見其他登記事項,鋼筋混凝土造,84年7月6日,四層,
RPUNMLOJPHLFFAV37CA,21,.59,見其他登記事項,鋼筋混凝土造,84年7月6日,,
RPUNMLOJPHLFFAV37CA,21,.59,見其他登記事項,鋼筋混凝土造,84年7月6日,,
RPUNMLOJPHLFFAV37CA,21,.59,見其他登記事項,鋼筋混凝土造,84年7月6日,,
RPUNMLOJPHLFFAV37CA,21,.59,見其他登記事項,鋼筋混凝土造,84年7月6日,,
RPUNMLOJPHLFFAV37CA,21,.59,見其他登記事項,鋼筋混凝土造,84年7月6日,,
RPUNMLOJPHLFFAV37CA,21,.59,見其他登記事項,鋼筋混凝土造,84年7月6日,,
RPUNMLOJPHLFFAV37CA,21,.58,見其他登記事項,鋼筋混凝土造,84年7月6日,,
RPUNMLOJPHLFFAV37CA,21,.58,見其他登記事項,鋼筋混凝土造,84年7月6日,,
RPUNMLOJPHLFFAV37CA,21,.58,見其他登記事項,鋼筋混凝土造,84年7月6日,,
RPUNMLOJPHLFFAV37CA,21,.58,見其他登記事項,鋼筋混凝土造,84年7月6日,,
RPUNMLOJPHLFFAV37CA,21,.58,見其他登記事項,鋼筋混凝土造,84年7月6日,,
RPUNMLOJPHLFFAV37CA,21,.59,見其他登記事項,鋼筋混凝土造,84年7月6日,,
RPXNMLPJPHLFFAV77CA,36,117.04,住家用,加強磚造,69年1月20日,二層,一層 二層 騎樓
RPQNMLTKPHLFFAV57CA,,92.33,住家用,鋼造,,二層,一層 二層 騎樓
RPVNMLQLPHLFFAV87CA,17,173.76,住家用,鋼筋混凝土造,88年9月29日,三層,一層 二層 三層
RPQNMLNKPHLFFAV96CA,16,195.98,住家用,鋼筋混凝土造,89年4月7日,三層,一層 二層 三層
RPROMLLKPHLFFAV96CA,41,66.24,住家用,見其他登記事項,64年11月20日,一層,一層
RPPNMLMKPHLFFAV76CA,20,63.01,見其他登記事項,鋼筋混凝土造,85年6月21日,七層,二層
RPPNMLMKPHLFFAV76CA,20,7.68,見其他登記事項,鋼筋混凝土造,85年6月21日,七層,
RPPNMLMKPHLFFAV76CA,20,4.40,見其他登記事項,鋼筋混凝土造,85年6月21日,七層,
RPPNMLMKPHLFFAV76CA,20,4.47,見其他登記事項,鋼筋混凝土造,85年6月21日,七層,
RPPNMLMKPHLFFAV76CA,20,16.82,見其他登記事項,鋼筋混凝土造,85年6月21日,七層,
RPUNMLLKPHLFFAV17CA,,227.01,住家用,見其他登記事項,105年4月25日,三層,一層 二層 三層
RPOOMLLKPHLFFAV66CA,21,150.60,見其他登記事項,鋼筋混凝土造,84年8月22日,三層,一層 二層 三層
RPWNMLOKPHLFFAV77DA,17,769.59,見其他登記事項,鋼筋混凝土造,87年8月24日,四層,一層 二層 三層 四層 騎樓
RPPNMLPKPHLFFAV17DA,30,197.36,住家用,加強磚造,75年1月30日,三層,一層 二層 三層
RPSNMLNJQHLFFAV27DA,21,184.76,住家用,鋼筋混凝土造,84年1月14日,三層,一層 二層 三層
RPSNMLOKPHLFFAV27CA,21,83.72,見其他登記事項,鋼筋混凝土造,84年1月25日,十層,六層
RPSNMLOKPHLFFAV27CA,,2.21,見其他登記事項,鋼筋混凝土造,,十層,
RPSNMLOKPHLFFAV27CA,21,9.76,見其他登記事項,鋼筋混凝土造,84年1月25日,十層,
RPSNMLOKPHLFFAV27CA,21,2.35,見其他登記事項,鋼筋混凝土造,84年1月25日,十層,
RPSNMLOKPHLFFAV27CA,21,11.98,見其他登記事項,鋼筋混凝土造,84年1月25日,十層,
RPTNMLOKPHLFFAV37CA,6,241.72,住家用,見其他登記事項,99年2月11日,三層,一層 二層 三層
RPQNMLLKQHLFFAV86CA,43,48.56,住家用,見其他登記事項,62年9月7日,一層,一層
RPSNMLMLPHLFFAV17CA,1,186.26,住家用,見其他登記事項,104年10月14日,三層,一層 二層 三層
RPWNMLTKPHLFFAV18CA,36,107.06,住家用,加強磚造,69年2月26日,二層,騎樓 一層 二層
RPSOMLKLPHLFFAV07CA,32,87.17,住家用,鋼筋混凝土造,73年1月30日,四層,四層
RPSOMLKLPHLFFAV07CA,32,19.50,見其他登記事項,鋼筋混凝土造,73年1月30日,四層,
RPPNMLPLPHLFFAV27DA,20,80.19,見其他登記事項,鋼筋混凝土造,85年6月21日,七層,五層
RPPNMLPLPHLFFAV27DA,20,8.68,見其他登記事項,鋼筋混凝土造,85年6月21日,七層,
RPPNMLPLPHLFFAV27DA,20,5.87,見其他登記事項,鋼筋混凝土造,85年6月21日,七層,
RPPNMLPLPHLFFAV27DA,20,6.17,見其他登記事項,鋼筋混凝土造,85年6月21日,七層,
RPPNMLPLPHLFFAV27DA,20,16.82,見其他登記事項,鋼筋混凝土造,85年6月21日,七層,
RPPNMLMLPHLFFDV17CA,12,169.52,住家用,鋼筋混凝土造,93年10月6日,三層,一層 二層 三層
RPUOMLKLPHLFFAV27CA,50,138.95,住家用,見其他登記事項,55年9月23日,一層,一層 騎樓
RPSNMLKLPHLFFAV96CA,,32.74,住家用,見其他登記事項,,一層,一層
