編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPPNMLMJPHLFFAV66CA,建和段,385.35,都市：住
RPPNMLMJPHLFFAV66CA,建和段,11.20,都市：其他
RPUNMLNKPHLFFBV47CA,富民段,1276.21,非都市：風景區 ; 非都市編定：農牧用地
RPUNMLNKPHLFFBV47CA,富民段,1276.21,非都市：風景區 ; 非都市編定：農牧用地
RPRNMLPJPHLFFCV37CA,慶福段,411.25,都市：住
RPQNMLMKPHLFFCV07CA,月野段,581.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLPJPHLFFDV27CA,南興段,32.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLPJPHLFFDV27CA,南興段,38.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLPJPHLFFDV27CA,南興段,38.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLPJPHLFFDV27CA,南興段,38.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLPJPHLFFDV27CA,南興段,38.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLPJPHLFFDV27CA,南興段,32.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLPJPHLFFDV27CA,南興段,32.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLPJPHLFFDV27CA,南興段,32.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLKLPHLFFAV37CA,新園段,266.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPVOMLKLPHLFFAV37CA,新園段,4684.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPVOMLKLPHLFFAV37CA,新園段,829.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLOJPHLFFAV37CA,台東段,58.76,都市：住
RPXNMLPJPHLFFAV77CA,大業段,89.38,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSNMLQJPHLFFAV37CA,上源段,1286.84,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLTKPHLFFAV57CA,台東段,62.00,都市：住
RPVNMLQLPHLFFAV87CA,豐康段,121.22,都市：住
RPQNMLRJPHLFFAV37DA,新生段,340.00,都市：其他
RPPNMLOKPHLFFCV17CA,里�K段,294.89,都市：商
RPSNMLKLPHLFFBV07CA,南河段,641.26,都市：農
RPQNMLMJQHLFFBV96CA,黃金橋段,106.00,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLOKPHLFFBV07CA,小湊段石傘小段,229.00,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLOKPHLFFBV07CA,玉港段,2973.99,非都市：風景區 ; 非都市編定：農牧用地
RPQNMLNKPHLFFAV96CA,南王段,118.36,都市：住
RPROMLLKPHLFFAV96CA,豐利段,26.50,都市：住
RPROMLLKPHLFFAV96CA,豐利段,21.14,都市：住
RPROMLLKPHLFFAV96CA,豐利段,26.59,都市：住
RPROMLLKPHLFFAV96CA,豐利段,20.74,都市：住
RPPNMLMKPHLFFAV76CA,豐年段,16.64,都市：住
RPTNMLLKPHLFFAV07CA,新生段,35.00,都市：住
RPUNMLLKPHLFFAV17CA,豐年段,157.70,都市：住
RPOOMLLKPHLFFAV66CA,豐源段,101.24,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLLKPHLFFBV76CA,東河段,141.53,都市：農
RPPNMLNLPHLFFBV07CA,都蘭段,364.00,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLNLPHLFFBV07CA,都蘭段,4219.00,非都市：風景區 ; 非都市編定：農牧用地
RPSNMLSKPHLFFBV87DA,高原段,2500.00,非都市：森林區 ; 非都市編定：農牧用地
RPPNMLMKPHLFFCV07DA,鸞山段,5887.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLMKPHLFFCV07DA,鸞山段,91.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLMKPHLFFAV86CA,加路蘭段,8650.00,非都市：風景區 ; 非都市編定：農牧用地
RPRNMLMKPHLFFAV96CA,加路蘭段,8651.00,非都市：風景區 ; 非都市編定：農牧用地
RPQNMLPKPHLFFAV17CA,興安段,92.70,都市：住
RPQNMLPKPHLFFAV17CA,興安段,92.69,都市：住
RPQNMLPKPHLFFAV17CA,興安段,92.70,都市：住
RPQNMLPKPHLFFAV17CA,興安段,92.69,都市：住
RPRNMLSKPHLFFAV57CA,馬蘭段,3.60,都市：住
RPRNMLSKPHLFFAV57CA,馬蘭段,3.60,都市：住
RPRNMLSKPHLFFAV57CA,馬蘭段,3.60,都市：住
RPRNMLSKPHLFFAV57CA,馬蘭段,3.60,都市：住
RPRNMLSKPHLFFAV57CA,馬蘭段,3.60,都市：住
RPRNMLSKPHLFFAV57CA,馬蘭段,1.20,都市：住
RPRNMLSKPHLFFAV57CA,馬蘭段,1.20,都市：住
RPRNMLSKPHLFFAV57CA,馬蘭段,1.20,都市：住
RPRNMLSKPHLFFAV57CA,馬蘭段,1.20,都市：住
RPRNMLSKPHLFFAV57CA,馬蘭段,1.20,都市：住
RPUNMLOKPHLFFAV57DA,建華段,2907.18,都市：農
RPUNMLOKPHLFFAV57DA,建華段,449.54,都市：農
RPPNMLNKPHLFFCV07CA,南山段,189.94,都市：住
RPWNMLOKPHLFFAV77DA,台東段,5.00,都市：住
RPWNMLOKPHLFFAV77DA,台東段,1.00,都市：住
RPWNMLOKPHLFFAV77DA,台東段,96.00,都市：住
RPPNMLPKPHLFFAV17DA,豐年段,148.83,都市：住
RPQNMLSKPHLFFBV57CA,忠勇段,3.57,都市：住
RPQNMLSKPHLFFBV57CA,忠勇段,3.57,都市：住
RPQNMLSKPHLFFBV57CA,忠勇段,3.57,都市：住
RPPNMLPKPHLFFCV27CA,水井段,839.24,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLPKPHLFFCV27CA,水井段,268.51,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLPKPHLFFCV27CA,水井段,92.63,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLNJQHLFFAV27DA,下賓朗段,19.42,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLNJQHLFFAV27DA,下賓朗段,91.86,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLOKPHLFFAV17CA,利家段,2710.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLOKPHLFFAV27CA,台東段,12.77,都市：住
RPTNMLOKPHLFFAV37CA,岩灣段,163.75,都市：住
RPPNMLNLPHLFFAV96CA,岩灣段,194.82,都市：住
RPQNMLLKQHLFFAV86CA,東海段,58.15,都市：住
RPSNMLMLPHLFFAV17CA,豐里段,122.64,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSOMLKLPHLFFAV07CA,台東段,19.49,都市：住
RPSOMLKLPHLFFAV07CA,台東段,8.34,都市：住
RPSOMLKLPHLFFAV07CA,台東段,7.68,都市：住
RPSOMLKLPHLFFAV07CA,台東段,5.85,都市：住
RPSOMLKLPHLFFAV07CA,台東段,1.03,都市：住
RPSOMLKLPHLFFAV07CA,台東段,.97,都市：住
RPVNMLMLPHLFFAV47CA,建興段,4043.00,都市：農
RPPNMLMLPHLFFAV86CA,建和段,2420.10,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLPKPHLFFBV17CA,萬年段,119.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLQKPHLFFBV27CA,高原段,1978.00,非都市：森林區 ; 非都市編定：農牧用地
RPPNMLSKPHLFFBV47CA,八桑灣段,4185.01,非都市：風景區 ; 非都市編定：農牧用地
RPUNMLSKPHLFFAV87CA,建國段,3.00,都市：住
RPUNMLSKPHLFFAV87CA,建國段,28.57,都市：住
RPUNMLSKPHLFFAV87CA,建國段,10.31,都市：住
RPUNMLSKPHLFFAV87CA,建國段,17.60,都市：住
RPUNMLSKPHLFFAV87CA,建國段,.09,都市：住
RPUNMLSKPHLFFAV87CA,建國段,.05,都市：住
RPUNMLSKPHLFFAV87CA,建國段,.01,都市：住
RPTNMLTKPHLFFAV87CA,鎮樂段,2600.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLOKPHLFFCV37DA,里�K段,92.74,都市：住
RPPNMLPLPHLFFAV27DA,豐年段,23.57,都市：住
RPPNMLMLPHLFFDV17CA,復興段,112.64,都市：住
RPPNMLMLPHLFFDV17CA,復興段,73.86,都市：住
RPRNMLMLPHLFFCV27CA,萬朝段,101.87,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLMLPHLFFCV27CA,萬朝段,4423.90,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLKKQHLFFCV86CA,龍田段,33.64,都市：住
RPPNMLKKQHLFFCV86CA,龍田段,435.95,都市：住
RPPNMLKKQHLFFCV86CA,龍田段,14.52,都市：住
RPPNMLKKQHLFFCV86CA,龍田段,49.32,都市：住
RPPNMLKKQHLFFCV86CA,龍田段,115.26,都市：其他
RPPNMLKKQHLFFCV86CA,龍田段,33.16,都市：其他
RPQNMLLJQHLFFCV07DA,鸞山段,460.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLKLPHLFFAV17CA,東興段,2601.29,非都市：特定農業區 ; 非都市編定：農牧用地
RPUOMLKLPHLFFAV27CA,豐年段,198.10,都市：商
RPUOMLKLPHLFFAV27CA,豐年段,22.11,都市：其他
RPSNMLKLPHLFFAV96CA,台東段,35.00,都市：住
