鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
金城鎮,房地(土地+建物),金門縣金城鎮西海路三段106巷7弄1~30號,55.75,住,,,1050624,土地2建物1車位0,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1041218,99.06,3,2,2,有,無,6500000,65617,,0.0,0,,RPRNMLSJPHLFFAW57CA
烈嶼鄉,土地,青岐段301~330地號,377.0,住,,,1050622,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3600000,9549,,0.0,0,,RPRNMLMKPHLFFAW07CA
金寧鄉,房地(土地+建物),金門縣金寧鄉湖下1~30號,50.89,其他,,,1050510,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1050401,80.18,3,2,2,有,無,6250000,77950,,0.0,0,,RPXNMLOJPHLFFAW77CA
金寧鄉,土地,寧安二劃段541~570地號,28.34,住,,,1050629,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1147000,40473,,0.0,0,,RPQNMLPJPHLFFAW27DA
金寧鄉,建物,金門縣金寧鄉西堡31~60號,0.0,,,,1050629,土地0建物1車位0,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1050204,56.86,2,1,1,有,無,1953000,34348,,0.0,0,,RPRNMLPJPHLFFAW37DA
金寧鄉,土地,埔后村段61~90地號,11.0,住,,,1050629,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,405000,36818,,0.0,0,,RPSOMLPJPHLFFAW57DA
金寧鄉,土地,埔后村段61~90地號,11.0,住,,,1050629,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,405000,36818,,0.0,0,,RPRNMLQJPHLFFAW47DA
金沙鎮,土地,高坑劃測段691~720地號,1950.03,農,,,1050701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11000000,5641,,0.0,0,,RPWNMLTKPHLFFAW28CA
金寧鄉,土地,長寮段61~90地號,158.0,其他,,,1050623,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1680000,10633,,0.0,0,,RPPNMLQJPHLFFAW17CA
金城鎮,房地(土地+建物),金門縣金城鎮金門城61~90號,40.02,其他,,,1050704,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1050509,59.33,2,2,2,有,無,4100000,69105,,0.0,0,,RPRNMLKLPHLFFAW96CA
金城鎮,房地(土地+建物),金門縣金城鎮金門城61~90號,40.02,其他,,,1050704,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1050509,66.86,2,2,2,有,無,3800000,56835,,0.0,0,,RPSNMLKLPHLFFAW07CA
金城鎮,房地(土地+建物),金門縣金城鎮金門城61~90號,40.02,其他,,,1050704,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1050509,66.86,2,2,2,有,無,3900000,58331,,0.0,0,,RPTNMLKLPHLFFAW17CA
金城鎮,房地(土地+建物),金門縣金城鎮金門城61~90號,37.6,其他,,,1050704,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1050509,62.51,2,2,2,有,無,3880000,62070,,0.0,0,,RPUNMLKLPHLFFAW27CA
金城鎮,房地(土地+建物),金門縣金城鎮金門城61~90號,37.6,其他,,,1050704,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1050509,62.51,2,2,2,有,無,3900000,62390,,0.0,0,,RPVNMLKLPHLFFAW37CA
金城鎮,土地,延平段661~690地號,744.9,農,,,1050624,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,6712,,0.0,0,,RPPNMLKKPHLFFAW76DA
金寧鄉,土地,煙墩段901~930地號,497.83,其他,,,1050608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17500000,35153,,0.0,0,,RPPNMLMJQHLFFAW86CA
金城鎮,土地,金門城段871~900地號,25.83,住,,,1050613,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,335833,13002,,0.0,0,親屬間買賣,RPUNMLLKPHLFFAW37DA
金湖鎮,房地(土地+建物),金門縣金湖鎮市港三路211~240號,19.93,住,,,1050620,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041125,110.27,2,2,2,有,有,6150000,55772,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQNMLTKPHLFFAW67CA
金寧鄉,房地(土地+建物),金門縣金寧鄉慈湖路三段1~30號,40.79,住,,,1050608,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1010809,74.14,2,1,2,有,無,4600000,62045,,0.0,0,,RPXNMLQLPHLFFAW18CA
金沙鎮,土地,沙港劃段811~840地號,1000.23,農,,,1050609,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,1200,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLRJPHLFFAW47CA
金寧鄉,房地(土地+建物),金門縣金寧鄉下堡211~240號,131.99,其他,,,1050616,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1041214,191.44,5,2,5,有,無,9380000,48997,,0.0,0,,RPPNMLLKPHLFFAW76CA
金寧鄉,房地(土地+建物),金門縣金寧鄉安岐31~60號,50.7,其他,,,1050622,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1050428,95.11,3,1,2,有,無,4900000,51519,,0.0,0,,RPWNMLLKPHLFFAW47CA
金湖鎮,土地,尚義段631~660地號,490.53,其他,,,1050620,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7848480,16000,,0.0,0,,RPXNMLLKPHLFFAW57CA
金湖鎮,房地(土地+建物),金門縣金湖鎮料羅新村601~630號,142.94,其他,,,1050522,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1040508,164.16,3,3,3,有,無,8750000,53302,,0.0,0,,RPPOMLLKPHLFFAW86CA
金沙鎮,土地,斗門劃測段271~300地號,1040.11,農,,,1050621,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,4326,,0.0,0,,RPTNMLMKPHLFFAW27CA
金沙鎮,土地,沙田劃段1~30地號,335.0,其他,,,1050608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,2985,,0.0,0,,RPRNMLNJQHLFFAW17CA
金寧鄉,土地,后垵段151~180地號,277.92,住,,,1050704,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,14393,,0.0,0,,RPQNMLKKPHLFFAW86DA
金沙鎮,土地,蔡厝劃測段541~570地號,1080.11,農,,,1050705,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3996407,3700,,0.0,0,,RPUNMLMJQHLFFAW37CA
金寧鄉,土地,機場段391~420地號,273.41,住,,,1050510,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1562000,5713,,0.0,0,含未辦登記建物一棟(面積419.50平方公尺)權利範圍1/2,RPUNMLMKPHLFFAW47DA
金城鎮,土地,延平段751~780地號,984.88,農,,,1050628,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7400000,7514,,0.0,0,,RPVNMLMKPHLFFAW47CA
