編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLSJPHLFFAW57CA,1,86.12,見其他登記事項,鋼筋混凝土造,104年12月18日,三層,三層
RPRNMLSJPHLFFAW57CA,1,12.94,見其他登記事項,鋼筋混凝土造,104年12月18日,三層,
RPXNMLOJPHLFFAW77CA,,74.09,見其他登記事項,鋼筋混凝土造,105年4月1日,三層,一層
RPXNMLOJPHLFFAW77CA,,6.09,見其他登記事項,鋼筋混凝土造,105年4月1日,三層,
RPRNMLPJPHLFFAW37DA,,51.47,見其他登記事項,鋼筋混凝土造,105年2月4日,三層,三層
RPRNMLPJPHLFFAW37DA,,5.39,見其他登記事項,鋼筋混凝土造,105年2月4日,三層,
RPRNMLKLPHLFFAW96CA,,48.73,見其他登記事項,鋼筋混凝土造,105年5月9日,三層,一層
RPRNMLKLPHLFFAW96CA,,10.60,見其他登記事項,鋼筋混凝土造,105年5月9日,三層,
RPSNMLKLPHLFFAW07CA,,10.60,見其他登記事項,鋼筋混凝土造,105年5月9日,三層,
RPSNMLKLPHLFFAW07CA,,56.26,見其他登記事項,鋼筋混凝土造,105年5月9日,三層,二層
RPTNMLKLPHLFFAW17CA,,10.60,見其他登記事項,鋼筋混凝土造,105年5月9日,三層,
RPTNMLKLPHLFFAW17CA,,56.26,見其他登記事項,鋼筋混凝土造,105年5月9日,三層,三層
RPUNMLKLPHLFFAW27CA,,5.30,見其他登記事項,鋼筋混凝土造,105年5月9日,三層,
RPUNMLKLPHLFFAW27CA,,57.21,見其他登記事項,鋼筋混凝土造,105年5月9日,三層,二層
RPVNMLKLPHLFFAW37CA,,5.30,見其他登記事項,鋼筋混凝土造,105年5月9日,三層,
RPVNMLKLPHLFFAW37CA,,57.21,見其他登記事項,鋼筋混凝土造,105年5月9日,三層,三層
RPQNMLTKPHLFFAW67CA,1,69.38,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,四層
RPQNMLTKPHLFFAW67CA,1,40.89,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,
RPXNMLQLPHLFFAW18CA,4,68.70,見其他登記事項,鋼筋混凝土造,101年8月9日,三層,三層
RPXNMLQLPHLFFAW18CA,4,5.44,見其他登記事項,鋼筋混凝土造,101年8月9日,三層,
RPPNMLLKPHLFFAW76CA,1,191.44,住家用,鋼筋混凝土造,104年12月14日,三層,一層 二層 三層 見其他登記事項
RPWNMLLKPHLFFAW47CA,,89.46,見其他登記事項,鋼筋混凝土造,105年4月28日,三層,二層
RPWNMLLKPHLFFAW47CA,,5.65,見其他登記事項,鋼筋混凝土造,105年4月28日,三層,
RPPOMLLKPHLFFAW86CA,1,164.16,見其他登記事項,鋼筋混凝土造,104年5月8日,三層,一層 二層 三層
RPPNMLMKPHLFFAW86CA,1,28.64,見其他登記事項,鋼筋混凝土造,104年9月23日,七層,
