編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLLKPHLFFAX07CA,22,44.47,住家用,鋼筋混凝土造,83年3月3日,七層,六層
RPRNMLLKPHLFFAX07CA,22,5.77,見其他登記事項,鋼筋混凝土造,83年3月3日,七層,
RPRNMLLKPHLFFAX07CA,22,3.15,見其他登記事項,鋼筋混凝土造,83年3月3日,七層,
RPRNMLMJPHLFFAX07CA,82,56.78,住家用,見其他登記事項,23年1月1日,一層,一層
RPRNMLMJPHLFFAX07CA,82,56.78,住家用,見其他登記事項,23年1月1日,一層,一層
RPTNMLRJPHLFFAX77CA,10,107.67,見其他登記事項,鋼筋混凝土造,95年7月10日,十四層,六層
RPTNMLRJPHLFFAX77CA,10,69.52,共用部份,鋼筋混凝土造,95年7月10日,十四層,
RPPNMLQLPHLFFAX47CA,38,89.76,住商用,鋼筋混凝土造,67年6月15日,三層,一層 二層 三層
RPUNMLPJPHLFFAX77DA,22,97.43,住家用,鋼筋混凝土造,83年5月9日,七層,四層
RPUNMLPJPHLFFAX77DA,22,1.86,見其他登記事項,鋼筋混凝土造,83年5月9日,七層,
RPUNMLPJPHLFFAX77DA,22,11.37,見其他登記事項,鋼筋混凝土造,83年5月9日,七層,
RPUNMLPJPHLFFAX77DA,22,22.60,見其他登記事項,鋼筋混凝土造,83年5月9日,七層,
RPQNMLMKPHLFFAX17DA,,235.28,住家用,鋼筋混凝土造,105年4月20日,三層,一層 二層 三層 見其他登記事項
RPRNMLSLPHLFFAX87CA,36,120.40,住家用,鋼筋混凝土加強磚造,69年10月20日,二層,一層 二層 電梯樓梯間
RPUNMLLJQHLFFAX37CA,21,142.71,住家用,鋼筋混凝土造,84年5月11日,七層,六層
RPTOMLMKPHLFFAX47CA,,49.32,住家用,見其他登記事項,,一層,一層
RPRNMLRLPHLFFAX77CA,17,142.26,住家用,鋼筋混凝土造,88年5月15日,七層,六層
RPOOMLMJQHLFFAX07DA,11,178.48,住家用,鋼筋混凝土造,94年1月24日,三層,一層 二層 三層
RPQNMLNKPHLFFAX27DA,94,20.61,住家用,見其他登記事項,12年1月1日,一層,一層
RPQNMLPJQHLFFAX37CA,54,14.91,住家用,見其他登記事項,51年5月19日,一層,一層
RPPNMLSJQHLFFAX57CA,20,130.92,住家用,鋼筋混凝土造,85年4月23日,五層,四層
RPPNMLSJQHLFFAX57CA,20,17.70,見其他登記事項,鋼筋混凝土造,85年4月23日,五層,
RPSNMLSJQHLFFAX87CA,39,70.38,住家用,見其他登記事項,66年4月9日,一層,一層
RPPNMLSKPHLFFAX67DA,40,157.50,住商用,鋼筋混凝土造,65年6月21日,三層,一層 二層 三層
RPPNMLRLPHLFFAX57CA,10,73.25,共用部份,鋼筋混凝土造,95年6月29日,十四層,
RPPNMLRLPHLFFAX57CA,10,108.04,見其他登記事項,鋼筋混凝土造,95年6月29日,十二層,十二層
